title,handle,url,products_count,rules
Multidomain Chek,multidomain-chek,/collections/multidomain-chek,"{""count"":0}",Manual Collection
On Sale - Discount On The Best Brands & Gear,on-sale,/collections/on-sale,"{""count"":1349}","[{""column"":""IS_PRICE_REDUCED"",""relation"":""IS_SET"",""condition"":""""}]"
"Peter Williams Riding Apparel - Breeches, Jodphurs, Earlwwodd & More",peter-williams,/collections/peter-williams,"{""count"":11}","[{""column"":""TAG"",""relation"":""EQUALS"",""condition"":""peter williams""}]"
"Pets - Products For Dogs, Cats, & Other Small Animals",pets,/collections/pets,"{""count"":1954}",Manual Collection
Plum Tack - Quality Australia Riding Apparel & Clothing,plum-tack,/collections/plum-tack,"{""count"":42}","[{""column"":""VENDOR"",""relation"":""EQUALS"",""condition"":""Plum Tack""}]"
Ponyjet,ponyjet,/collections/ponyjet,"{""count"":5}","[{""column"":""TAG"",""relation"":""EQUALS"",""condition"":""ponyjet""}]"
Precision Microbes,precision-microbes,/collections/precision-microbes,"{""count"":2}","[{""column"":""VENDOR"",""relation"":""EQUALS"",""condition"":""Precision Microbes""}]"
Premier Equine,premier-equine,/collections/premier-equine,"{""count"":114}",Manual Collection
PS Of Sweden,ps-of-sweden,/collections/ps-of-sweden,"{""count"":29}",Manual Collection
QJ Riding Wear,qj-riding-wear,/collections/qj-riding-wear,"{""count"":56}","[{""column"":""VENDOR"",""relation"":""EQUALS"",""condition"":""QJ Riding Wear""}]"
Runaway Equestrian Co.,run-away-equestrian-co,/collections/run-away-equestrian-co,"{""count"":1}","[{""column"":""VENDOR"",""relation"":""EQUALS"",""condition"":""Runaway Equestrian Co.""}]"
"Saddle Blankets, Pads & Squares",saddle-pads,/collections/saddle-pads,"{""count"":365}",Manual Collection
Saddles For All Disciplines,saddles,/collections/saddles,"{""count"":64}",Manual Collection
Shire Saddleworld,shire-saddleworld,/collections/shire-saddleworld,"{""count"":1630}","[{""column"":""VENDOR"",""relation"":""EQUALS"",""condition"":""Shire Saddleworld""}]"
Shop & Buy Ariat Clothing & Footwear,ariat,/collections/ariat,"{""count"":208}","[{""column"":""TAG"",""relation"":""EQUALS"",""condition"":""ariat""}]"
Shop & Buy Emcee Apparel,emcee-apparel,/collections/emcee-apparel,"{""count"":17}","[{""column"":""TAG"",""relation"":""EQUALS"",""condition"":""emcee apparel""}]"
Shop & Buy Horse Bits - Quality Brands - All Types,horse-bits,/collections/horse-bits,"{""count"":246}",Manual Collection
Shop Acavallo Horse Riding Essentials,acavallo,/collections/acavallo,"{""count"":50}","[{""column"":""TAG"",""relation"":""EQUALS"",""condition"":""acavallo""}]"
Shop Animo Equestrian Gear,animo,/collections/animo,"{""count"":35}","[{""column"":""TAG"",""relation"":""EQUALS"",""condition"":""animo""}]"
Shop ANKY,anky,/collections/anky,"{""count"":5}","[{""column"":""TAG"",""relation"":""EQUALS"",""condition"":""anky""}]"
Shop Anna Scarpati,anna-scarpati,/collections/anna-scarpati,"{""count"":20}","[{""column"":""TAG"",""relation"":""EQUALS"",""condition"":""anna scarpati""}]"
Shop BARE Equestrian Apparel & Gear,bare-equestrian,/collections/bare-equestrian,"{""count"":90}",Manual Collection
"Shop Birds - Feed, Treats, Accessories, Supplies",birds,/collections/birds,"{""count"":190}","[{""column"":""TAG"",""relation"":""EQUALS"",""condition"":""birds""},{""column"":""TAG"",""relation"":""EQUALS"",""condition"":""poultry""}]"
Shop Cavalleria Toscana Equestrian Apparel & Horse Gear,cavalleria-toscana,/collections/cavalleria-toscana,"{""count"":361}","[{""column"":""TAG"",""relation"":""EQUALS"",""condition"":""cavalleria toscana""}]"
Shop Cavallo Products,cavallo,/collections/cavallo,"{""count"":67}","[{""column"":""TAG"",""relation"":""EQUALS"",""condition"":""cavallo""}]"
Shop Dy'On European Classic Equestrian Gear,dyon,/collections/dyon,"{""count"":34}","[{""column"":""TAG"",""relation"":""EQUALS"",""condition"":""dyon""}]"
Shop Equiline Equestrian Gear,equiline,/collections/equiline,"{""count"":1}","[{""column"":""TAG"",""relation"":""EQUALS"",""condition"":""equiline""}]"
Shop Equipe,equipe,/collections/equipe,"{""count"":69}","[{""column"":""TAG"",""relation"":""EQUALS"",""condition"":""equipe""}]"
Shop Eurohunter Equestrian Gear & Accessories,eurohunter,/collections/eurohunter,"{""count"":166}","[{""column"":""TAG"",""relation"":""EQUALS"",""condition"":""eurohunter""}]"
Shop Farrier Tools,farrier-tools,/collections/farrier-tools,"{""count"":42}",Manual Collection
"Shop Feed - Horses, Dogs, Pigs, Chickens & More",feed,/collections/feed,"{""count"":146}",Manual Collection
Shop FreeJump Stirrups & FreejumpSystem Range,freejump,/collections/freejump,"{""count"":9}","[{""column"":""TAG"",""relation"":""EQUALS"",""condition"":""freejump""}]"
Shop Hairy Pony Grooming Products,hairy-pony,/collections/hairy-pony,"{""count"":48}","[{""column"":""TAG"",""relation"":""EQUALS"",""condition"":""hairy pony""}]"
Shop Homeware - Equine Themed,homeware,/collections/homeware,"{""count"":179}","[{""column"":""TAG"",""relation"":""EQUALS"",""condition"":""homeware""}]"
Shop Horse Clippers,clippers,/collections/clippers,"{""count"":0}",Manual Collection
Shop Horse Halters,horse-halters,/collections/horse-halters,"{""count"":141}",Manual Collection
Shop Horse Riding Base Layers,base-layers,/collections/base-layers,"{""count"":49}","[{""column"":""TAG"",""relation"":""EQUALS"",""condition"":""base layer""},{""column"":""TAG"",""relation"":""EQUALS"",""condition"":""HLH base layer""},{""column"":""TAG"",""relation"":""EQUALS"",""condition"":""base layers""}]"
Shop Horse Riding Stirrups & Leathers,stirrups,/collections/stirrups,"{""count"":98}","[{""column"":""TAG"",""relation"":""EQUALS"",""condition"":""stirrups""},{""column"":""TAG"",""relation"":""EQUALS"",""condition"":""leathers""}]"
Shop Hygieia-San,hygieia-san,/collections/hygieia-san,"{""count"":0}","[{""column"":""VENDOR"",""relation"":""EQUALS"",""condition"":""Hygieia-San""}]"
"Shop Kentucky Horsewear - Boots, Pads, Bonnets, Girths, Bandages & More",kentucky,/collections/kentucky,"{""count"":166}","[{""column"":""TAG"",""relation"":""EQUALS"",""condition"":""kentucky""}]"
Shop Kids Horse Toys,horse-toys,/collections/horse-toys,"{""count"":54}",Manual Collection
"Shop Leather Brothers - Collars, Leather Goods & More",leather-brothers,/collections/leather-brothers,"{""count"":0}","[{""column"":""TAG"",""relation"":""EQUALS"",""condition"":""leather brothers""}]"
Shop Lemieux Horse Gear & Apparel,lemieux,/collections/lemieux,"{""count"":201}","[{""column"":""TAG"",""relation"":""EQUALS"",""condition"":""lemieux""},{""column"":""TAG"",""relation"":""EQUALS"",""condition"":""halters""}]"
Shop Martin Saddlery,martin-saddlery,/collections/martin-saddlery,"{""count"":0}","[{""column"":""TAG"",""relation"":""EQUALS"",""condition"":""martin saddlery""}]"
Shop Mochara Equestrian Apparel,mochara,/collections/mochara,"{""count"":20}","[{""column"":""TAG"",""relation"":""EQUALS"",""condition"":""mochara""}]"
Shop Noble Outfitters - Quality Equestrian Apparel & Accessories,noble-outfitters,/collections/noble-outfitters,"{""count"":8}","[{""column"":""TAG"",""relation"":""EQUALS"",""condition"":""noble""}]"
Shop Paddock Blade,paddock-blade,/collections/paddock-blade,"{""count"":7}","[{""column"":""TAG"",""relation"":""EQUALS"",""condition"":""paddock blade""}]"
Shop Penelope Leprovost Equestrian Gear & Apparel,penelope-leprovost,/collections/penelope-leprovost,"{""count"":13}","[{""column"":""TAG"",""relation"":""EQUALS"",""condition"":""penelope leprevost""}]"
"Shop Prestige Saddles, Bridles & Equestrian Gear",prestige,/collections/prestige,"{""count"":11}","[{""column"":""TAG"",""relation"":""EQUALS"",""condition"":""prestige""}]"
Shop Samshield Helmets & Equestrian Products,samshield,/collections/samshield,"{""count"":245}",Manual Collection
Shop Thinline Global Australia,thinline-global-australia,/collections/thinline-global-australia,"{""count"":68}","[{""column"":""VENDOR"",""relation"":""EQUALS"",""condition"":""Thinline Global Australia""},{""column"":""TITLE"",""relation"":""CONTAINS"",""condition"":""Thinline""}]"
Shop Toklat Equestrian Gear & Products,toklat,/collections/toklat,"{""count"":0}","[{""column"":""TAG"",""relation"":""EQUALS"",""condition"":""toklat""}]"
"Shop Weaver Leather - Quality Leather Products, Care & Tools",weaver-leather,/collections/weaver-leather,"{""count"":0}","[{""column"":""TAG"",""relation"":""EQUALS"",""condition"":""weaver leather""}]"
Shop Wintec - Saddles & Equestrian Gear,wintec,/collections/wintec,"{""count"":15}","[{""column"":""TAG"",""relation"":""EQUALS"",""condition"":""wintec""}]"
"Shop Zilco Rugs, Horse Boots & Accessories",zilco,/collections/zilco,"{""count"":197}","[{""column"":""TAG"",""relation"":""EQUALS"",""condition"":""zilco""}]"
Southern Sport Horses,southern-sport-horses,/collections/southern-sport-horses,"{""count"":918}","[{""column"":""VENDOR"",""relation"":""EQUALS"",""condition"":""Southern Sport Horses""}]"
Southern Sport Horses,southern-sport-horses-1,/collections/southern-sport-horses-1,"{""count"":0}",Manual Collection
Stable & Arena Gear,stable-and-yard,/collections/stable-and-yard,"{""count"":55}",Manual Collection
Sterling Essentials,sterling-essentials,/collections/sterling-essentials,"{""count"":14}","[{""column"":""VENDOR"",""relation"":""EQUALS"",""condition"":""Sterling Essentials""}]"
Tacklet,tacklet,/collections/tacklet,"{""count"":515}","[{""column"":""VENDOR"",""relation"":""EQUALS"",""condition"":""Tacklet""}]"
Test Imports,test-imports,/collections/test-imports,"{""count"":0}",Manual Collection
The Barbie Collection,the-barbie-collection,/collections/the-barbie-collection,"{""count"":8}","[{""column"":""TAG"",""relation"":""EQUALS"",""condition"":""barbie""}]"
The Equestrian,the-equestrian,/collections/the-equestrian,"{""count"":37}","[{""column"":""VENDOR"",""relation"":""EQUALS"",""condition"":""The Equestrian""}]"
Top Brands,top-brands,/collections/top-brands,"{""count"":223}","[{""column"":""VENDOR"",""relation"":""EQUALS"",""condition"":""Top Brands""}]"
Trailrace Equestrian Outfitters,trailrace-equestrian-outfitters,/collections/trailrace-equestrian-outfitters,"{""count"":2204}","[{""column"":""VENDOR"",""relation"":""EQUALS"",""condition"":""Trailrace Equestrian Outfitters""}]"
Vibrant Equestrian,vibrant-equestrian,/collections/vibrant-equestrian,"{""count"":7}","[{""column"":""VENDOR"",""relation"":""EQUALS"",""condition"":""Vibrant Equestrian""}]"
Visentin Equestrian,visentin-equestrian,/collections/visentin-equestrian,"{""count"":23}","[{""column"":""VENDOR"",""relation"":""EQUALS"",""condition"":""Visentin Equestrian""}]"
Vivarchie Equestrian,vivarchie-equestrian,/collections/vivarchie-equestrian,"{""count"":118}","[{""column"":""VENDOR"",""relation"":""EQUALS"",""condition"":""Vivarchie Equestrian""}]"
