shopify_id,handle,title,old_canonical,new_canonical,redirect_required,redirect_from,redirect_to,category_path,parent_categories,brand_pages,status,error_message
gid://shopify/Product/10176952107300,mountain-creek-jewellery-sterling-silver-pearl-rose-gold-plated-with-cubic-zirconia-studs,Mountain Creek Jewellery Sterling Silver Pearl Rose Gold Plated with Cubic Zirconia Studs,/products/mountain-creek-jewellery-sterling-silver-pearl-rose-gold-plated-with-cubic-zirconia-studs,/rider/jewellery/earrings/mountain-creek-jewellery-sterling-silver-pearl-rose-gold-plated-with-cubic-zirconia-studs,1,/products/mountain-creek-jewellery-sterling-silver-pearl-rose-gold-plated-with-cubic-zirconia-studs,/rider/jewellery/earrings/mountain-creek-jewellery-sterling-silver-pearl-rose-gold-plated-with-cubic-zirconia-studs,/rider/jewellery/earrings,"[""/rider/jewellery"",""/rider""]",[],success,
gid://shopify/Product/10176952140068,mountain-creek-jewellery-sterling-silver-and-rose-gold-plated-set-cubic-zirconia-studs,Mountain Creek Jewellery Sterling Silver and Rose Gold Plated Set Cubic Zirconia Studs,/products/mountain-creek-jewellery-sterling-silver-and-rose-gold-plated-set-cubic-zirconia-studs,/rider/jewellery/earrings/mountain-creek-jewellery-sterling-silver-and-rose-gold-plated-set-cubic-zirconia-studs,1,/products/mountain-creek-jewellery-sterling-silver-and-rose-gold-plated-set-cubic-zirconia-studs,/rider/jewellery/earrings/mountain-creek-jewellery-sterling-silver-and-rose-gold-plated-set-cubic-zirconia-studs,/rider/jewellery/earrings,"[""/rider/jewellery"",""/rider""]",[],success,
gid://shopify/Product/10176952172836,mountain-creek-jewellery-multi-colour-cubic-zirconia-unicorn-studs,Mountain Creek Jewellery Multi Colour Cubic Zirconia Unicorn Studs,/products/mountain-creek-jewellery-multi-colour-cubic-zirconia-unicorn-studs,/rider/jewellery/earrings/mountain-creek-jewellery-multi-colour-cubic-zirconia-unicorn-studs,1,/products/mountain-creek-jewellery-multi-colour-cubic-zirconia-unicorn-studs,/rider/jewellery/earrings/mountain-creek-jewellery-multi-colour-cubic-zirconia-unicorn-studs,/rider/jewellery/earrings,"[""/rider/jewellery"",""/rider""]",[],success,
gid://shopify/Product/10176952205604,mountain-creek-jewellery-sterling-silver-stirrup-drop-earrings,Mountain Creek Jewellery Sterling Silver Stirrup Drop Earrings,/products/mountain-creek-jewellery-sterling-silver-stirrup-drop-earrings,/rider/jewellery/earrings/mountain-creek-jewellery-sterling-silver-stirrup-drop-earrings,1,/products/mountain-creek-jewellery-sterling-silver-stirrup-drop-earrings,/rider/jewellery/earrings/mountain-creek-jewellery-sterling-silver-stirrup-drop-earrings,/rider/jewellery/earrings,"[""/rider/jewellery"",""/rider""]",[],success,
gid://shopify/Product/10176952271140,mountain-creek-jewellery-stirling-silver-braclet-with-cubic-zirconia-unicorn,Mountain Creek Jewellery Stirling Silver Braclet with Cubic Zirconia Unicorn,/products/mountain-creek-jewellery-stirling-silver-braclet-with-cubic-zirconia-unicorn,/rider/jewellery/bracelets/mountain-creek-jewellery-stirling-silver-braclet-with-cubic-zirconia-unicorn,1,/products/mountain-creek-jewellery-stirling-silver-braclet-with-cubic-zirconia-unicorn,/rider/jewellery/bracelets/mountain-creek-jewellery-stirling-silver-braclet-with-cubic-zirconia-unicorn,/rider/jewellery/bracelets,"[""/rider/jewellery"",""/rider""]",[],success,
gid://shopify/Product/10176952303908,mountain-creek-jewellery-stirling-silver-bracelet-horseshoe,Mountain Creek Jewellery Stirling Silver Bracelet Horseshoe,/products/mountain-creek-jewellery-stirling-silver-bracelet-horseshoe,/rider/jewellery/bracelets/mountain-creek-jewellery-stirling-silver-bracelet-horseshoe,1,/products/mountain-creek-jewellery-stirling-silver-bracelet-horseshoe,/rider/jewellery/bracelets/mountain-creek-jewellery-stirling-silver-bracelet-horseshoe,/rider/jewellery/bracelets,"[""/rider/jewellery"",""/rider""]",[],success,
gid://shopify/Product/10176952369444,mountain-creek-jewellery-stirling-silver-horseshoe-necklace,Mountain Creek Jewellery Stirling Silver Horseshoe Necklace,/products/mountain-creek-jewellery-stirling-silver-horseshoe-necklace,/rider/jewellery/necklaces/mountain-creek-jewellery-stirling-silver-horseshoe-necklace,1,/products/mountain-creek-jewellery-stirling-silver-horseshoe-necklace,/rider/jewellery/necklaces/mountain-creek-jewellery-stirling-silver-horseshoe-necklace,/rider/jewellery/necklaces,"[""/rider/jewellery"",""/rider""]",[],success,
gid://shopify/Product/10176952402212,mountain-creek-jewellery-stirling-silver-horseshoe-necklace-with-yellow-gold-plating,Mountain Creek Jewellery Stirling Silver Horseshoe Necklace with Yellow Gold Plating,/products/mountain-creek-jewellery-stirling-silver-horseshoe-necklace-with-yellow-gold-plating,/rider/jewellery/necklaces/mountain-creek-jewellery-stirling-silver-horseshoe-necklace-with-yellow-gold-plating,1,/products/mountain-creek-jewellery-stirling-silver-horseshoe-necklace-with-yellow-gold-plating,/rider/jewellery/necklaces/mountain-creek-jewellery-stirling-silver-horseshoe-necklace-with-yellow-gold-plating,/rider/jewellery/necklaces,"[""/rider/jewellery"",""/rider""]",[],success,
gid://shopify/Product/10176952467748,mountain-creek-jewellery-stirling-silver-necklace-with-cubic-zircona-star,Mountain Creek Jewellery Stirling Silver Necklace with Cubic Zircona Star,/products/mountain-creek-jewellery-stirling-silver-necklace-with-cubic-zircona-star,/rider/jewellery/necklaces/mountain-creek-jewellery-stirling-silver-necklace-with-cubic-zircona-star,1,/products/mountain-creek-jewellery-stirling-silver-necklace-with-cubic-zircona-star,/rider/jewellery/necklaces/mountain-creek-jewellery-stirling-silver-necklace-with-cubic-zircona-star,/rider/jewellery/necklaces,"[""/rider/jewellery"",""/rider""]",[],success,
gid://shopify/Product/10176952500516,mountain-creek-jewellery-stirling-silver-necklace-with-rose-gold-plated-cubic-zircona-star,Mountain Creek Jewellery Stirling Silver Necklace with Rose Gold Plated Cubic Zircona Star,/products/mountain-creek-jewellery-stirling-silver-necklace-with-rose-gold-plated-cubic-zircona-star,/rider/jewellery/necklaces/mountain-creek-jewellery-stirling-silver-necklace-with-rose-gold-plated-cubic-zircona-star,1,/products/mountain-creek-jewellery-stirling-silver-necklace-with-rose-gold-plated-cubic-zircona-star,/rider/jewellery/necklaces/mountain-creek-jewellery-stirling-silver-necklace-with-rose-gold-plated-cubic-zircona-star,/rider/jewellery/necklaces,"[""/rider/jewellery"",""/rider""]",[],success,
