category,featured_image_url,featured_title,featured_subtitle,featured_link,quick_link_1_title,quick_link_1_image_url,quick_link_1_link,quick_link_2_title,quick_link_2_image_url,quick_link_2_link,card_1_title,card_1_image_url,card_1_link,card_2_title,card_2_image_url,card_2_link,card_3_title,card_3_image_url,card_3_link,card_4_title,card_4_image_url,card_4_link,card_5_title,card_5_image_url,card_5_link,card_6_title,card_6_image_url,card_6_link
horse,https://cdn.shopify.com/s/files/1/0562/0963/7457/files/KentuckyMeshComboCoolerSheet52158.png?v=1750327519,Horse,The best for your horse or pony,/horse,Horse Boots,https://cdn.shopify.com/s/files/1/0562/0963/7457/files/Kentrucky_eventing_front_boot.jpg?v=1761243931,/horse/boots,Bits,https://cdn.shopify.com/s/files/1/0562/0963/7457/files/GetProductPictureById_faf73952-c121-4c4d-888c-f287a9505668.png?v=1732492947,/horse/bits,Supplements,https://cdn.shopify.com/s/files/1/0562/0963/7457/files/20151270_1.jpg?v=1746430600,/horse/supplements,Grooming,https://cdn.shopify.com/s/files/1/0562/0963/7457/files/20089368_1.jpg?v=1746405575,/horse/grooming,Rugs,https://cdn.shopify.com/s/files/1/0562/0963/7457/files/P1122784_510f8626-eb05-4b37-90ae-b0666d9912ff.jpg?v=1728961203,/horse/rugs,Saddles,https://cdn.shopify.com/s/files/1/0562/0963/7457/files/Trainers_Master_Blk.png?v=1745283214,/horse/saddles,Pads,https://cdn.shopify.com/s/files/1/0562/0963/7457/files/850065.jpg?v=1764595444,/horse/pads,,,
rider,/mega-menu/rider.png,Rider,The best for you!,/rider,Riding Gloves,https://cdn.shopify.com/s/files/1/0562/0963/7457/files/GetProductPictureById_293c864a-b1c3-41bc-ab67-d8d6c6d07376.png?v=1733172077,/rider/gloves,Jewellery,https://cdn.shopify.com/s/files/1/0562/0963/7457/products/jeb_2048x_8dc20986-ed5a-40ed-8b34-051601314bf9.jpg?v=1696322344,/rider/jewellery,Giftware,https://cdn.shopify.com/s/files/1/0562/0963/7457/files/HorseDesignCushion-Bitless.jpg?v=1785900386,/accessories/gifts,Luggage,https://cdn.shopify.com/s/files/1/0562/0963/7457/files/WaldhausenTravellingGearBag.jpg?v=1735150966,/rider/luggage,Glasses & Goggles,https://cdn.shopify.com/s/files/1/0562/0963/7457/files/BrownSnaffleSunglasses2.png?v=1785900254,/rider/eyewear,Spurs & Straps,https://cdn.shopify.com/s/files/1/0562/0963/7457/files/861964_MetalabPrinceofWales_ca03419d-a0c4-4e9b-b8c5-2f886a2daaf4.jpg?v=1732511800,/rider/spurs,Chaps & Gaiters,https://cdn.shopify.com/s/files/1/0562/0963/7457/files/leather-half-chaps-marilyn.jpg?v=1783316940,/rider/chaps,Body Protectors,https://cdn.shopify.com/s/files/1/0562/0963/7457/files/20271633_1.jpg?v=1755169082,/rider/body-protectors
clothing,/mega-menu/clothing.png,Equestrian & Casual Clothing,The equestrian & casual apparel!,/clothing,Women's Breeches & Jods,https://cdn.shopify.com/s/files/1/0562/0963/7457/files/QJ2023Sep33.jpg?v=1783390768,/clothing/womens/breeches,Ladies Tops & Shirts,https://cdn.shopify.com/s/files/1/0562/0963/7457/files/A005122_V_8Q_01_1920x1920_9df6a614-2260-4c75-addc-42cba2ff45aa.webp?v=1785819201,/clothing/womens/tops,Mens Equestrian & Casual Clothing,https://cdn.shopify.com/s/files/1/0562/0963/7457/files/cavalleria-toscana-mens-tech-knit-bomber-clothing.png?v=1735146490,/clothing/mens,Men's Breeches & Jods,https://cdn.shopify.com/s/files/1/0562/0963/7457/files/EDOUARD-ASFALTO-01.jpg?v=1783317932,/clothing/mens/breeches,Outerwear,https://cdn.shopify.com/s/files/1/0562/0963/7457/files/009A7629copy.jpg?v=1745317022,/clothing/outerwear,Kids Equestrian & Casual Clothing,https://cdn.shopify.com/s/files/1/0562/0963/7457/files/PeddiesPonyinPink_3763f8e2-7894-49d2-9e09-b708d7dec0f4.jpg?v=1735176880,/clothing/kids,Sleepwear,https://cdn.shopify.com/s/files/1/0562/0963/7457/files/52BDA7CC-B922-4B78-AB3F-0CC4B1B08E14.jpg?v=1765464116,/clothing/sleepwear,Footwear,https://cdn.shopify.com/s/files/1/0562/0963/7457/files/20026158_1.jpg?v=1746401403,/clothing/footwear/casual
pet,/mega-menu/pet.png,Pets,The best for your pet!,/pet,Dogs,https://cdn.shopify.com/s/files/1/0562/0963/7457/files/NewIronbarkdogrug.jpg?v=1783318908,/pet/dog,Cats,https://cdn.shopify.com/s/files/1/0562/0963/7457/files/20397302_1.jpg?v=1746461085,/pet/cat,Dog Grooming,https://cdn.shopify.com/s/files/1/0562/0963/7457/files/SPAFUSION-SHAM_CON-BOTTLE_500ml_2.png?v=1787038286,/pet/dog/grooming,Dog Food,https://cdn.shopify.com/s/files/1/0562/0963/7457/files/pfa-kangaroo-dog-food.jpg?v=1787038287,/pet/dog/food,Dog Treats,https://cdn.shopify.com/s/files/1/0562/0963/7457/files/Pet-Food-AUS-Packaging-CHICKEN-JERKY-1000x1000-1.png?v=1787038286,/pet/dog/treats,Collars & Leads,https://cdn.shopify.com/s/files/1/0562/0963/7457/files/Brass_Clincher_Dog_Collar_Lead_Set_2.png?v=1785900751,/pet/dog/collars-and-leads,Dog Coats,https://cdn.shopify.com/s/files/1/0562/0963/7457/files/Kentuckydograincoat.png?v=1783317864,/pet/dog/coats-and-rugs,Cat Food,https://cdn.shopify.com/s/files/1/0562/0963/7457/files/img-prod-cat-dry-main_71ba9bfa-9f4c-4c9d-a2ac-d49172a1f819.png?v=1787038286,/pet/cat/food
accessories,,,,,,,,,,,,,,,,,,,,,,,,,,,,
