Product Type,Count,Sample Products,Collections
"Dog Grooming & Coat Care",91,"furminator-large-dog-long-hair; furminator-large-dog-short-hair; furminator-medium-dog-long-hair; furminator-medium-dog-short-hair; furminator-nail-grinder","pets (Pets - Products For Dogs, Cats, & Other Small Animals); ascot-saddlery (Ascot Saddlery); globo_basis_collection (Globo basis collection - Do not delete); horse-grooming-supplies (Horse Grooming Gear & Accessories); on-sale (On Sale - Discount On The Best Brands & Gear); ponyjet (Ponyjet); the-equestrian (The Equestrian)"
"Jewellery",90,"kelly-herd-6mm-bit-ring; kelly-herd-blue-clear-horseshoe-ring; kelly-herd-blue-stone-horseshoe-necklace-sterling-silver; kelly-herd-bracelet-double-horseshoe-sterling-silver; kelly-herd-bracelet-double-horseshoe-rose-gold","horse-halters (Shop Horse Halters); horse-jewellery (Horse Jewellery - Equine & Equestrian Themed); top-brands (Top Brands); globo_basis_collection (Globo basis collection - Do not delete); horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); the-equestrian (The Equestrian); on-sale (On Sale - Discount On The Best Brands & Gear); tacklet (Tacklet)"
"Dog Accessories",90,"bark-collar-spray-petsafe; bark-collar-ultrasonic-petsafe; bark-spray-refill-citronella; bark-control-unit-outdoor-ultrasonic-petsafe; bark-spray-refill-citronella-can","pets (Pets - Products For Dogs, Cats, & Other Small Animals); ascot-saddlery (Ascot Saddlery); globo_basis_collection (Globo basis collection - Do not delete); birds (Shop Birds - Feed, Treats, Accessories, Supplies); strapping (Bridles & Strapping - Top Brands For All Disciplines)"
"Breeches",86,"animo-madox-mens-breeches; animo-ministro-mens-full-grip-breeches; animo-namiro-ladies-breeches; animo-nom-ladies-breeches; animo-noa-full-grip-breeches","horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); dapple-eq (Dapple EQ); animo (Shop Animo Equestrian Gear); on-sale (On Sale - Discount On The Best Brands & Gear); breeches (Horse Riding Breeches - Quality International & National Brands); globo_basis_collection (Globo basis collection - Do not delete); anna-scarpati (Shop Anna Scarpati); little-equine-co (Little Equine Co); cavallo (Shop Cavallo Products); jp-equestrian-fashion (JP Equestrian Fashion); plum-tack (Plum Tack - Quality Australia Riding Apparel & Clothing); run-away-equestrian-co (Runaway Equestrian Co.); qj-riding-wear (QJ Riding Wear); jnk-collective (JNK Collective); shire-saddleworld (Shire Saddleworld); tacklet (Tacklet); penelope-leprovost (Shop Penelope Leprovost Equestrian Gear & Apparel)"
"Womens",85,"ariat-wms-sunstopper-3-0-laurel-green; ariat-wms-taryn-ss-polo-duck-green; bv-sidney-training-shirt; horze-stella-rain-jacket; ariat-womens-prix-2-0-polo-forest-green","on-sale (On Sale - Discount On The Best Brands & Gear); ariat (Shop & Buy Ariat Clothing & Footwear); globo_basis_collection (Globo basis collection - Do not delete); shire-saddleworld (Shire Saddleworld); base-layers (Shop Horse Riding Base Layers)"
"STABLE: First Aid & Dressings",80,"absorbine-ultra-shield-ex-475ml; alto-lab-bugshield-insect-repellent-500ml; animalintex; bandage-elastick-10cm-x-4-5mt; bandage-equitex-chew-prevention","horse-grooming-supplies (Horse Grooming Gear & Accessories); ascot-saddlery (Ascot Saddlery); globo_basis_collection (Globo basis collection - Do not delete); pets (Pets - Products For Dogs, Cats, & Other Small Animals); horse-bandages (Leg Wraps & Bandages For Your Horse Or Pony); horse-health (Horse Health & Nutrition); eurohunter (Shop Eurohunter Equestrian Gear & Accessories); birds (Shop Birds - Feed, Treats, Accessories, Supplies)"
"HORSE: Headstalls",79,"bitless-bridle-reins-rainbow-rancher; foal-catcher-leather-foal-weanling; foal-headstall-gymkhana-red; foal-headstall-gymkhana-burgundy; foal-headstall-gymkhana-royal-blue","horse-halters (Shop Horse Halters); ascot-saddlery (Ascot Saddlery); globo_basis_collection (Globo basis collection - Do not delete); zilco (Shop Zilco Rugs, Horse Boots & Accessories); on-sale (On Sale - Discount On The Best Brands & Gear); the-barbie-collection (The Barbie Collection); eurohunter (Shop Eurohunter Equestrian Gear & Accessories)"
"Dog Potions & Lotions",74,"adaptil-calm-home-diffuser-ceva-48ml; adaptil-refill-ceva-48ml; aristopet-dog-repel-outdoor-1kg; aristopet-dog-repel-outdoor-400gm; aristopet-dog-repel-spray-house-125ml","pets (Pets - Products For Dogs, Cats, & Other Small Animals); ascot-saddlery (Ascot Saddlery); globo_basis_collection (Globo basis collection - Do not delete); birds (Shop Birds - Feed, Treats, Accessories, Supplies); horse-grooming-supplies (Horse Grooming Gear & Accessories); horse-health (Horse Health & Nutrition)"
"Cat Accessories",67,"bowl-plastic-double-k9; cat-bowl-face-scream-loud-blue; cat-bowl-face-scream-loud-green; cat-bowl-face-scream-loud-orange; cat-bowl-face-scream-loud-pink","ascot-saddlery (Ascot Saddlery); globo_basis_collection (Globo basis collection - Do not delete); pets (Pets - Products For Dogs, Cats, & Other Small Animals)"
"STABLE: Stable Equipment",65,"blanket-bar-90cm-black; blocker-tie-ring; bridle-bracket-brass-plated; bridle-bracket-pvc-coated; bridle-rack-5-bridle-black","ascot-saddlery (Ascot Saddlery); globo_basis_collection (Globo basis collection - Do not delete); strapping (Bridles & Strapping - Top Brands For All Disciplines); horse-health (Horse Health & Nutrition)"
