Product Type,Count,Sample Products,Collections
"Bird Cages & Furniture",31,"bird-bath-oval; bird-feeder-auto; bird-feeder-funnel; bird-feeder-inside-jumbo; bird-feeder-d-2-pack","ascot-saddlery (Ascot Saddlery); globo_basis_collection (Globo basis collection - Do not delete); birds (Shop Birds - Feed, Treats, Accessories, Supplies)"
"Kids Footwear",31,"roper-tod-cowboot-cool-tan-navy; roper-little-kids-jed-brown-green; roper-kds-heritage-brown-cognac; roper-kds-lola-white-glitter; roper-kids-floral-shine-brown-pink","globo_basis_collection (Globo basis collection - Do not delete); shire-saddleworld (Shire Saddleworld); on-sale (On Sale - Discount On The Best Brands & Gear)"
"Saddlepads",31,"design-your-own-e-a-mattes-western-square-pad; design-your-own-e-a-mattes-islandic-saddle-pad; armada-close-contact-dressage-square; pony-close-contact-merino-wool-half-lined-european-gp-jump-square; close-contact-cotton-gp-jump-saddle-pad","saddle-pads (Saddle Blankets, Pads & Squares); globo_basis_collection (Globo basis collection - Do not delete); tacklet (Tacklet); on-sale (On Sale - Discount On The Best Brands & Gear)"
"Grooming",30,"absorbine-show-sheen-hair-polish; champion-tails-water-glaze; equipe-emporio-jump-saddle; equinade-mighty-bright; equinade-hair-polish","horse-grooming-supplies (Horse Grooming Gear & Accessories); trailrace-equestrian-outfitters (Trailrace Equestrian Outfitters); on-sale (On Sale - Discount On The Best Brands & Gear); globo_basis_collection (Globo basis collection - Do not delete); saddles (Saddles For All Disciplines); equipe (Shop Equipe); tacklet (Tacklet)"
"Supplements",30,"hepato-liq; hoof-aid; hoof-aid-special; kick-up; lactatec","trailrace-equestrian-outfitters (Trailrace Equestrian Outfitters); globo_basis_collection (Globo basis collection - Do not delete); horse-health (Horse Health & Nutrition); cavalor-equicare (Cavalor Equicare); on-sale (On Sale - Discount On The Best Brands & Gear); pets (Pets - Products For Dogs, Cats, & Other Small Animals); shire-saddleworld (Shire Saddleworld); tacklet (Tacklet)"
"HORSE: Girths",29,"equiprene-anti-gall-dressage-girth-elasticised-black; equiprene-anti-gall-dressage-girth-elasticised-brown; equiprene-anti-gall-dressage-girth-elasticised-white; equiprene-anti-gall-two-buckle-girth-brown; equiprene-anti-gall-two-buckle-girth-black","ascot-saddlery (Ascot Saddlery); globo_basis_collection (Globo basis collection - Do not delete); eurohunter (Shop Eurohunter Equestrian Gear & Accessories); zilco (Shop Zilco Rugs, Horse Boots & Accessories); strapping (Bridles & Strapping - Top Brands For All Disciplines); accessories (Accessories)"
"Stirrup Irons",28,"equipe-safety-irons; freejump-softup-classic; freejump-airs-stirrup-iron; freejump-softup-pro; freejump-softup-lite","horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); strapping (Bridles & Strapping - Top Brands For All Disciplines); trailrace-equestrian-outfitters (Trailrace Equestrian Outfitters); globo_basis_collection (Globo basis collection - Do not delete); stirrups (Shop Horse Riding Stirrups & Leathers); freejump (Shop FreeJump Stirrups & FreejumpSystem Range); on-sale (On Sale - Discount On The Best Brands & Gear); samshield (Shop Samshield Helmets & Equestrian Products); shire-saddleworld (Shire Saddleworld); zilco (Shop Zilco Rugs, Horse Boots & Accessories); eurohunter (Shop Eurohunter Equestrian Gear & Accessories)"
"Strapping - Halters",28,"epsom-deluxe-pn-halter; ca-performer-halter; aubenhausen-classics-halter-set; equipe-leather-halter-with-braid-detail; equipe-emporio-leather-halter","strapping (Bridles & Strapping - Top Brands For All Disciplines); horse-halters (Shop Horse Halters); trailrace-equestrian-outfitters (Trailrace Equestrian Outfitters); globo_basis_collection (Globo basis collection - Do not delete); on-sale (On Sale - Discount On The Best Brands & Gear); kentucky (Shop Kentucky Horsewear - Boots, Pads, Bonnets, Girths, Bandages & More); horse-grooming-supplies (Horse Grooming Gear & Accessories); thinline-global-australia (Shop Thinline Global Australia); zilco (Shop Zilco Rugs, Horse Boots & Accessories)"
"Rug",27,"kentucky-summer-sheet-quick-dry; deluxe-flagcloth-combo-rug; deluxe-cotton-ripstop-combo-rug; deluxe-top-rain-sheets; diamond-cotton-ripstop-rug","horse-rugs (Horse Rugs - All Types); trailrace-equestrian-outfitters (Trailrace Equestrian Outfitters); kentucky (Shop Kentucky Horsewear - Boots, Pads, Bonnets, Girths, Bandages & More); globo_basis_collection (Globo basis collection - Do not delete); diamond-deluxe-horsewear (Diamond Deluxe Horsewear); on-sale (On Sale - Discount On The Best Brands & Gear); tacklet (Tacklet)"
"Belt",27,"leather-plaited-belt-brown-mixed; leather-plaited-belt-candy-pink; leather-plaited-belt-hot-pink; leather-plaited-belt-havana; leather-plaited-belt-red","horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); hitchley-harrow (Hitchley & Harrow); globo_basis_collection (Globo basis collection - Do not delete); on-sale (On Sale - Discount On The Best Brands & Gear); little-equine-co (Little Equine Co); cavallo (Shop Cavallo Products)"
"HORSE: Number Holders",27,"competition-numbers-crystal-3-stc; competition-number-vest-black; competition-numbers-set-4-digit-round-small; number-holder-leather-black; number-holder-leather-brown","horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); ascot-saddlery (Ascot Saddlery); globo_basis_collection (Globo basis collection - Do not delete); horse-halters (Shop Horse Halters); visentin-equestrian (Visentin Equestrian)"
"CLOTHING: Hats & Caps",26,"ariat-cap-signature-navy-white; ariat-cap-truckers-black-charcoal; hat-cleaning-pads-pack-of-2; hat-saver; hat-saver-kwik-stik","horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); ascot-saddlery (Ascot Saddlery); ariat (Shop & Buy Ariat Clothing & Footwear); globo_basis_collection (Globo basis collection - Do not delete)"
"HORSE: Stirrup Leathers",26,"bates-webbers-stirrup-leathers-classic-black-1-70cm; bates-webbers-stirrup-leathers-classic-brown-1-70cm; stirrup-guards-neoprene; stirrup-leathers-bates-leather-black; stirrup-leathers-bates-luxe-leather-classic-black","ascot-saddlery (Ascot Saddlery); globo_basis_collection (Globo basis collection - Do not delete); stirrups (Shop Horse Riding Stirrups & Leathers); strapping (Bridles & Strapping - Top Brands For All Disciplines); zilco (Shop Zilco Rugs, Horse Boots & Accessories)"
"STABLE: Clippers",26,"clipper-blade-lube-oster; wahl-blade-for-adjustable-horse-pro-show-pro-clippers-size-10-15-30-standard; wahl-blade-for-km-other-clippers-size-10-1-8mm-medium-width; wahl-blade-for-km-other-clippers-size-15-1-5mm-medium-fine; wahl-blade-super-groom-clipper","ascot-saddlery (Ascot Saddlery); globo_basis_collection (Globo basis collection - Do not delete); pets (Pets - Products For Dogs, Cats, & Other Small Animals)"
"RIDER: Stocks & Hair Accessories",26,"hair-net-fine-black-2pack; hair-net-fine-brown-2pack; hair-net-fine-blonde-2pack; hair-net-fine-brown-dark-2pack; hair-net-fine-brown-light-2pack","ascot-saddlery (Ascot Saddlery); globo_basis_collection (Globo basis collection - Do not delete)"
"RUGS: Rug Accessories",24,"wild-horse-replacement-leg-straps; bib-quilted; bib-padded; bib-wonder-coat-hood-blue; bib-taffetta","trailrace-equestrian-outfitters (Trailrace Equestrian Outfitters); globo_basis_collection (Globo basis collection - Do not delete); horse-rugs (Horse Rugs - All Types); ascot-saddlery (Ascot Saddlery); eurohunter (Shop Eurohunter Equestrian Gear & Accessories); horse-bandages (Leg Wraps & Bandages For Your Horse Or Pony); zilco (Shop Zilco Rugs, Horse Boots & Accessories)"
"HORSE: Wither & Back Pads",24,"acavallo-air-release-soft-gel-pad-natural; acavallo-anatomic-gel-pad-natural; acavallo-front-riser-pad; acavallo-gel-double-riser-pad-natural; acavallo-gel-pad-front-riser-natural","saddle-pads (Saddle Blankets, Pads & Squares); ascot-saddlery (Ascot Saddlery); globo_basis_collection (Globo basis collection - Do not delete); acavallo (Shop Acavallo Horse Riding Essentials); zilco (Shop Zilco Rugs, Horse Boots & Accessories)"
"Fly Control",23,"kentucky-horsewear-fly-mask-slim-fit; wild-horse-flyveil-highlighter; wild-horse-riding-flyveil-3-dart; wild-horse-ultimate-uv-flyveil-3-darts; woof-wear-fly-mask","horse-health (Horse Health & Nutrition); trailrace-equestrian-outfitters (Trailrace Equestrian Outfitters); fly-veils-and-hoods (Mask & Fly Veils For Horses & Ponies); kentucky (Shop Kentucky Horsewear - Boots, Pads, Bonnets, Girths, Bandages & More); globo_basis_collection (Globo basis collection - Do not delete); horse-grooming-supplies (Horse Grooming Gear & Accessories); pets (Pets - Products For Dogs, Cats, & Other Small Animals); on-sale (On Sale - Discount On The Best Brands & Gear)"
"Horse Boots & Bandages",23,"cryochaps-absolute-ice-wrap-pair-pastern-hocks-knees; cryochaps-back-pack-cooler; cryochaps-ice-wrap-boots-2-sizes; waldhausen-florence-fleece-bandages-lavender; waldhausen-florence-fleece-bandages-stone-grey","horse-boots (Horse Boots - All Types); horse-bandages (Leg Wraps & Bandages For Your Horse Or Pony); top-brands (Top Brands); globo_basis_collection (Globo basis collection - Do not delete); elt (ELT  Equestrian)"
"FOOTWEAR: Equestrian Footwear",23,"ariat-boots-heritage-lace-iv-black-ladies; ariat-boots-heritage-zip-iv-paddock-black-ladies; ariat-boots-heritage-zip-iv-h20-black-ladies; ariat-boots-heritage-zip-iv-paddock-brown-ladies; ariat-field-boots-heritage-contour-black-mens","footwear (Horse Riding Boots & Footwear, Trainers, Workers); ascot-saddlery (Ascot Saddlery); ariat (Shop & Buy Ariat Clothing & Footwear); globo_basis_collection (Globo basis collection - Do not delete); eurohunter (Shop Eurohunter Equestrian Gear & Accessories)"
"Browbands",23,"baby-pink-crystal-browband-black-leather; solitaire-crystal-browband; rose-gold-crystal-browband; light-peach-clear-crystal-browband; blue-black-clear-crystal-browband","globo_basis_collection (Globo basis collection - Do not delete); tacklet (Tacklet); on-sale (On Sale - Discount On The Best Brands & Gear)"
"Saddles",22,"amerigo-pasubio-pinerolo-dressage; equipe-ek-evo-jump-saddle; equipe-allegra-jump-saddle; edge-jump-saddle; equipe-bocelli-mono-dressage-saddle","saddles (Saddles For All Disciplines); trailrace-equestrian-outfitters (Trailrace Equestrian Outfitters); globo_basis_collection (Globo basis collection - Do not delete); equipe (Shop Equipe)"
"The Trail of Painted Ponies",22,"the-trail-of-painted-ponies-adoration; the-trail-of-painted-ponies-barn-buddies; the-trail-of-painted-ponies-christmas-crystals; the-trail-of-painted-ponies-christmas-past; the-trail-of-painted-ponies-forest-spirit","horse-toys (Shop Kids Horse Toys); top-brands (Top Brands); globo_basis_collection (Globo basis collection - Do not delete)"
"HORSE: Bridles",22,"academy-bridle-flat-show-leather-black; academy-bridle-hanovarian-leather-black; academy-bridle-flat-show-leather-brown; academy-bridle-hanovarian-leather-brown; acavallo-bridle-snaffle-cupido-anatomic-crown-black","strapping (Bridles & Strapping - Top Brands For All Disciplines); ascot-saddlery (Ascot Saddlery); globo_basis_collection (Globo basis collection - Do not delete); acavallo (Shop Acavallo Horse Riding Essentials); eurohunter (Shop Eurohunter Equestrian Gear & Accessories); zilco (Shop Zilco Rugs, Horse Boots & Accessories)"
"RIDER: Whips",22,"dressage-whip-leather-handle-showmaster-100cm; eventing-whip-gg-65cm; riding-crop-bling-65cm-black; riding-crop-bling-65cm-silver; riding-crop-braided-gg-60cm","ascot-saddlery (Ascot Saddlery); globo_basis_collection (Globo basis collection - Do not delete)"
"HORSE: Reins",22,"rein-stops-rubber-gel-pair-black; rein-stops-rubber-pair; reins-laced-leather-jeremy-lord; reins-divided-leather-aintree; reins-nylon-loop-end-7-8","strapping (Bridles & Strapping - Top Brands For All Disciplines); ascot-saddlery (Ascot Saddlery); globo_basis_collection (Globo basis collection - Do not delete); horse-bits (Shop & Buy Horse Bits - Quality Brands - All Types)"
"Coat Care",22,"geegee-collective-restore-mane-and-tail-treatment; soothing-calm-conditioner-500ml; shine-serum-120ml; no-tangles-spray-125ml; nrg-gloss-arena","globo_basis_collection (Globo basis collection - Do not delete); ippico-equestrian (Ippico Equestrian); on-sale (On Sale - Discount On The Best Brands & Gear); tacklet (Tacklet)"
"STABLE: Feed Bins & Hay Bags",21,"feed-bag-collapsible-purple; feed-bag-collapsible-royal; feed-bin-over-the-fence-pony; hay-bag-denier-gg; hay-bag-canvas","stable-and-yard (Stable & Arena Gear); ascot-saddlery (Ascot Saddlery); globo_basis_collection (Globo basis collection - Do not delete); eurohunter (Shop Eurohunter Equestrian Gear & Accessories); on-sale (On Sale - Discount On The Best Brands & Gear)"
"Grooming Products",21,"razor-single; glow-black-shampoo-1l; blue-ribbon-shampoo-1l; calafea-horse-oil; magic-tails-shine-serum-120ml","globo_basis_collection (Globo basis collection - Do not delete); shire-saddleworld (Shire Saddleworld); on-sale (On Sale - Discount On The Best Brands & Gear); zilco (Shop Zilco Rugs, Horse Boots & Accessories)"
"Socks",20,"animo-tesea-socks; animo-top-socks; animo-tadan-socks; animo-tipic-socks; animo-tenk-socks","horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); dapple-eq (Dapple EQ); on-sale (On Sale - Discount On The Best Brands & Gear); globo_basis_collection (Globo basis collection - Do not delete); horse-boots (Horse Boots - All Types); animo (Shop Animo Equestrian Gear); kentucky (Shop Kentucky Horsewear - Boots, Pads, Bonnets, Girths, Bandages & More); little-equine-co (Little Equine Co); cavallo (Shop Cavallo Products); dyon (Shop Dy'On European Classic Equestrian Gear); jp-equestrian-fashion (JP Equestrian Fashion); top-brands (Top Brands); tacklet (Tacklet)"
"Spurs",20,"gold-cup-campdraft-spurs; metalab-ss-rubber-spur-hexagon-rowel-25mm; metalab-ss-rubber-spur-4mm-round-rowel; metalab-ss-rubber-spur-pow-20mm; ord-river-stockman-spurs","footwear (Horse Riding Boots & Footwear, Trainers, Workers); trailrace-equestrian-outfitters (Trailrace Equestrian Outfitters); globo_basis_collection (Globo basis collection - Do not delete); horse-bits (Shop & Buy Horse Bits - Quality Brands - All Types); tacklet (Tacklet); on-sale (On Sale - Discount On The Best Brands & Gear)"
"Health Care",20,"arcequine-carbon-rubbers-pair; arc4health-arm-strap; arcequine-conductive-gel-250ml; arcequine-australian-charger; arcequine-drawstring-bag","horse-health (Horse Health & Nutrition); top-brands (Top Brands); globo_basis_collection (Globo basis collection - Do not delete); horse-queened (HORSE QUEENED); horse-grooming-supplies (Horse Grooming Gear & Accessories)"
"Fly Veil",20,"animo-castel-fly-hood; animo-cidos-fly-hood; animo-crazy-fly-veil; animo-cuver-fly-veil; animo-cala-fly-veil","dapple-eq (Dapple EQ); on-sale (On Sale - Discount On The Best Brands & Gear); globo_basis_collection (Globo basis collection - Do not delete); horse-health (Horse Health & Nutrition); kentucky (Shop Kentucky Horsewear - Boots, Pads, Bonnets, Girths, Bandages & More)"
"SADDLES: Dressage Saddles",20,"bates-dressage-saddle-cair-classic-black; prestige-passion-k-dressage-saddle-black; prestige-x-d1-dressage-saddle-black; arena-dressage-saddle-black; arena-dressage-saddle-brown","saddles (Saddles For All Disciplines); ascot-saddlery (Ascot Saddlery); globo_basis_collection (Globo basis collection - Do not delete)"
"Cat Litter & Accessories",20,"catmate-three-piece-sieve-litter-tray-beige; k9-litterscoop; k9-littertray-44cm-x-31cm-x-11cm; k9-littertray-deep-c-w-rim-black; pet-loo-the","ascot-saddlery (Ascot Saddlery); globo_basis_collection (Globo basis collection - Do not delete); pets (Pets - Products For Dogs, Cats, & Other Small Animals)"
"Stock & Western",20,"montana-western-saddle-brown-10; ord-river-tiny-tots-12; syd-hill-premium-leatherhalf-breed-w-adj-gullet; ts-ranger-fender; bates-kimberley-stock","globo_basis_collection (Globo basis collection - Do not delete); shire-saddleworld (Shire Saddleworld); wintec (Shop Wintec - Saddles & Equestrian Gear)"
"Hair Accessories",20,"black-pearl-encrusted-hair-net; yellow-womens-knitted-headband-ear-warmer; blonde-hairlock; hair-bun-net-with-diamante-floret; navy-blue-rose-hair-scrunchie-with-crystals","globo_basis_collection (Globo basis collection - Do not delete); tacklet (Tacklet)"
"Leads",20,"leather-lead-w-solid-brass-chain-plate-7-feet; leather-lead-rein-with-chain-coupling; yellow-nylon-lead; navy-nylon-lead; royal-blue-nylon-lead","globo_basis_collection (Globo basis collection - Do not delete); tacklet (Tacklet)"
"Bridles",19,"epsom-bridle-cavesson; equipe-rose-dressage-noseband; equipe-king-rolled-patent-weymouth-bridle; miniature-bridle; ps-of-sweden-gp-bridle","strapping (Bridles & Strapping - Top Brands For All Disciplines); trailrace-equestrian-outfitters (Trailrace Equestrian Outfitters); globo_basis_collection (Globo basis collection - Do not delete); equipe (Shop Equipe); dyon (Shop Dy'On European Classic Equestrian Gear); the-equestrian (The Equestrian); little-equine-co (Little Equine Co); on-sale (On Sale - Discount On The Best Brands & Gear)"
"Casual Jacket",19,"animo-eagle-mens-windbreaker; animo-edito-mens-padded-jacket; animo-lake-ladies-casual-jacket; animo-ibux-mens-padded-jacket; animo-larny-ladies-casual-jacket","horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); dapple-eq (Dapple EQ); animo (Shop Animo Equestrian Gear); globo_basis_collection (Globo basis collection - Do not delete); on-sale (On Sale - Discount On The Best Brands & Gear); little-equine-co (Little Equine Co); cavallo (Shop Cavallo Products)"
"Leather Care",19,"effax-leather-balsam-grip; sterling-essentials-5-pack-mini-premium-leather-conditioner; sterling-essentials-mini-premium-leather-conditioner; sterling-essentials-floral-citrus-leather-care-trio; eucalyptus-leather-care-trio","horse-health (Horse Health & Nutrition); trailrace-equestrian-outfitters (Trailrace Equestrian Outfitters); globo_basis_collection (Globo basis collection - Do not delete); sterling-essentials (Sterling Essentials); stable-and-yard (Stable & Arena Gear); footwear (Horse Riding Boots & Footwear, Trainers, Workers); tacklet (Tacklet)"
"Care",19,"ice-clay; leather-shine; leather-soap; lurax-cream; muddoc","trailrace-equestrian-outfitters (Trailrace Equestrian Outfitters); globo_basis_collection (Globo basis collection - Do not delete); horse-health (Horse Health & Nutrition); horse-grooming-supplies (Horse Grooming Gear & Accessories); cavalor-equicare (Cavalor Equicare); on-sale (On Sale - Discount On The Best Brands & Gear)"
"SADDLES: All Purpose Saddles",19,"bare-back-pad; bates-all-purpose-saddle-cair-black; bates-all-purpose-saddle-cair-brown; status-pony-pad; wintec-pony-pad-saddle-black","saddles (Saddles For All Disciplines); saddle-pads (Saddle Blankets, Pads & Squares); ascot-saddlery (Ascot Saddlery); globo_basis_collection (Globo basis collection - Do not delete); zilco (Shop Zilco Rugs, Horse Boots & Accessories)"
"Reins",18,"dyon-converter-rubber-reins-with-7-leather-loops-brown-full-size; dyon-d-collection-reins-5-8-rubber-reins-brown; dyon-d-collection-rubber-reins-with-7-leather-loops-brown; dyon-d-collection-hunter-reins-with-7-leather-loops-brown-full-size; dyon-new-english-5-8-full-leather-double-bridle-reins-with-loops-black-full","strapping (Bridles & Strapping - Top Brands For All Disciplines); horse-bits (Shop & Buy Horse Bits - Quality Brands - All Types); little-equine-co (Little Equine Co); dyon (Shop Dy'On European Classic Equestrian Gear); globo_basis_collection (Globo basis collection - Do not delete); on-sale (On Sale - Discount On The Best Brands & Gear); tacklet (Tacklet)"
"Breeches & Riding Tights",18,"elt-hanna-high-waist-leggings-black; noble-balance-riding-tight-black; noble-balance-riding-tight-elmwood; noble-balance-riding-tight-navy; noble-tight-5-pocket","horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); top-brands (Top Brands); breeches (Horse Riding Breeches - Quality International & National Brands); globo_basis_collection (Globo basis collection - Do not delete); elt (ELT  Equestrian); noble-outfitters (Shop Noble Outfitters - Quality Equestrian Apparel & Accessories)"
"CLOTHING: Jeans",18,"ariat-jeans-real-mid-rise-boot-cut-ladies-entwined-marine; thomas-cook-jean-rhian-bootcut-34-darkest-night-ladies; thomas-cook-jeans-ada-skinny-morning-sky-ladies; thomas-cook-moleskin-straight-leg-navy-mens; thomas-cook-moleskin-straight-leg-sand-mens","footwear (Horse Riding Boots & Footwear, Trainers, Workers); horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); ascot-saddlery (Ascot Saddlery); ariat (Shop & Buy Ariat Clothing & Footwear); globo_basis_collection (Globo basis collection - Do not delete); on-sale (On Sale - Discount On The Best Brands & Gear)"
"CLOTHING: Socks",18,"ariat-socks-ariattek-performance-uni-heather-grey-navy; woof-socks-competition-black; woof-socks-bamboo-riding-black; socks-tommy-hilfiger-byron-pack-of-3-desert-sky-35-38; socks-tommy-hilfiger-byron-pack-of-3-desert-sky-39-42","footwear (Horse Riding Boots & Footwear, Trainers, Workers); ascot-saddlery (Ascot Saddlery); ariat (Shop & Buy Ariat Clothing & Footwear); globo_basis_collection (Globo basis collection - Do not delete)"
"SADDLES: Saddle Accessories & Gullets",18,"bates-girth-point-leather-show-pair-black; bates-gullet-gauge; bates-girth-point-leather-show-pair-brown; bates-gullet-kit; bates-gullet-standard","ascot-saddlery (Ascot Saddlery); globo_basis_collection (Globo basis collection - Do not delete); zilco (Shop Zilco Rugs, Horse Boots & Accessories); saddles (Saddles For All Disciplines); eurohunter (Shop Eurohunter Equestrian Gear & Accessories)"
"Bell Boots",18,"cavallo-jodi-bell-boots; aero-2-0-cool-flow-brushing-boots-black; aero-2-0-cool-flow-brushing-boots-navy; aero-2-0-cool-flow-brushing-boots-white; liscio-fur-lined-bell-boots-white-pre-order-5-september-2023","little-equine-co (Little Equine Co); globo_basis_collection (Globo basis collection - Do not delete); horse-boots (Horse Boots - All Types); on-sale (On Sale - Discount On The Best Brands & Gear); ippico-equestrian (Ippico Equestrian); tacklet (Tacklet)"
"Shirts",18,"pink-pearl-polo; grey-polo; active-mesh-shirt-black; active-mesh-shirt-white; casual-tee-sky-blue","on-sale (On Sale - Discount On The Best Brands & Gear); globo_basis_collection (Globo basis collection - Do not delete); jnk-collective (JNK Collective); tacklet (Tacklet)"
"Bridle",18,"eureka-event-bridle-shetland-brown; norfolk-bitless-bridle; grainge-dressage-snaffle-w-crystal-curved-browband-full; eurohunter-barcoo-bridle; showcraft-silver-clinch-hanovarian-bridle-black-shetland","on-sale (On Sale - Discount On The Best Brands & Gear); globo_basis_collection (Globo basis collection - Do not delete); shire-saddleworld (Shire Saddleworld); eurohunter (Shop Eurohunter Equestrian Gear & Accessories); prestige (Shop Prestige Saddles, Bridles & Equestrian Gear)"
"Dressage Saddle",18,"pds-grande-blk; pds-delicato-9-black; trainers-master-dressage; prestige-atena-evo-w-flap; cavalier-leather-dressage-saddle","globo_basis_collection (Globo basis collection - Do not delete); shire-saddleworld (Shire Saddleworld); prestige (Shop Prestige Saddles, Bridles & Equestrian Gear); wintec (Shop Wintec - Saddles & Equestrian Gear); on-sale (On Sale - Discount On The Best Brands & Gear)"
"Competition Jacket",17,"animo-libra-jacket; animo-lanier-ladies-competition-jacket; animo-icap-mens-competition-jacket; animo-lawel-ladies-competition-jacket; animo-lorea-compition-jacket","horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); dapple-eq (Dapple EQ); on-sale (On Sale - Discount On The Best Brands & Gear); globo_basis_collection (Globo basis collection - Do not delete); animo (Shop Animo Equestrian Gear); little-equine-co (Little Equine Co); cavallo (Shop Cavallo Products)"
"FOOTWEAR: Western & Roper Boots",17,"ariat-roper-boots-heritage-brown-ladies; ariat-roper-boots-heritage-brown-mens; ariat-western-boots-heritage-distressed-brown-ladies; baxter-western-boots-childrens-navy-brown-baby; baxter-western-boots-childrens-navy-brown-junior","footwear (Horse Riding Boots & Footwear, Trainers, Workers); ascot-saddlery (Ascot Saddlery); ariat (Shop & Buy Ariat Clothing & Footwear); globo_basis_collection (Globo basis collection - Do not delete)"
"Jodhpurs",17,"black-bamboo-breaches-with-phone-pocket-and-some-bling; bamboo-jodhpurs-in-brown-final-run-out-last-sizes; bootleg-denim-riding-jeans-with-phone-pockets-choose-your-length-and-silicone-option; coolmax-jodhpurs-in-sizes-6-to-28-in-black-with-silicone-seat-grip; coolmax-jodhpurs-in-sizes-6-to-28-in-grey","horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); on-sale (On Sale - Discount On The Best Brands & Gear); plum-tack (Plum Tack - Quality Australia Riding Apparel & Clothing); breeches (Horse Riding Breeches - Quality International & National Brands); globo_basis_collection (Globo basis collection - Do not delete)"
"Strapping - Bridles",16,"emporio-convertible-hanovarian-bridle; emporio-fancy-stitched-hanoverian-bridle; equipe-drop-nose-band; equipe-elastic-grackle-bridle; equipe-patent-hanoverian-bridle","strapping (Bridles & Strapping - Top Brands For All Disciplines); trailrace-equestrian-outfitters (Trailrace Equestrian Outfitters); equipe (Shop Equipe); globo_basis_collection (Globo basis collection - Do not delete)"
"Bracelet",16,"baroque-cuff-style-custom-made-bracelet; braided-horsehair-bracelet-in-sterling-silver-chain-and-clasp; braided-horsehair-bracelet-in-sterling-silver-chain-and-clasp-with-stone-bead; double-layer-sterling-silver-and-swarovski-beaded-horsehair-bracelet; double-wrap-stainless-steel-braided-horse-hair-bracelet-in-silver-or-yellow-gold-tone","horse-jewellery (Horse Jewellery - Equine & Equestrian Themed); living-horse-tales-jewellery-by-monika (Living Horse Tales Jewellery By Monika); globo_basis_collection (Globo basis collection - Do not delete); on-sale (On Sale - Discount On The Best Brands & Gear)"
"Riding Boots",16,"cavallo-linus-dressage-boots; cavallo-linus-dressage-boots-edition-caiman; cavallo-linus-dressage-boots-edition-varano-lack; cavallo-linus-dressage-boots-in-stock; cavallo-linus-jump-riding-boots-edition-lack-strass","footwear (Horse Riding Boots & Footwear, Trainers, Workers); little-equine-co (Little Equine Co); cavallo (Shop Cavallo Products); globo_basis_collection (Globo basis collection - Do not delete); tacklet (Tacklet)"
"FOOTWEAR: Casual Footwear",16,"ariat-boots-dura-terrain-h20-distressed-brown-ladies; ariat-boots-dura-terrain-h20-distressed-brown-mens; ariat-boots-terrain-h20-brown-turquoise-ladies; baxter-boots-drover-black-mens; baxter-boots-goulburn-suede-chocolate-mens","footwear (Horse Riding Boots & Footwear, Trainers, Workers); ascot-saddlery (Ascot Saddlery); ariat (Shop & Buy Ariat Clothing & Footwear); globo_basis_collection (Globo basis collection - Do not delete); pets (Pets - Products For Dogs, Cats, & Other Small Animals); on-sale (On Sale - Discount On The Best Brands & Gear)"
"Bird Food & Treats",16,"bird-cuttlebone-flavoured-1-pack-large; bird-cuttlebone-flavoured-2-pack-medium; bird-cuttlebone-flavoured-2-pack-small; bird-cuttlebone-natural-1-pack-large; bird-cuttlebone-natural-2-pack-small","ascot-saddlery (Ascot Saddlery); globo_basis_collection (Globo basis collection - Do not delete); birds (Shop Birds - Feed, Treats, Accessories, Supplies)"
"Apparel - Ladies",16,"noble-karleigh-short-sleeve-v-neck; noble-caps-rhythm-blues-4-colours; noble-cap-cruiser-snap-back-navy; elt-lourdes-softshell-mix-jacket-night-blue; noble-cap-cruiser-velcro-strap-navy","top-brands (Top Brands); globo_basis_collection (Globo basis collection - Do not delete); elt (ELT  Equestrian)"
"Dogs",16,"nrg-pink-noze-doggie-90ml; nrg-no-nots-doggie-250ml; rodeo-adjustable-harness; howdy-dog-leash; howdy-deluxe-single-car-seat-cover","globo_basis_collection (Globo basis collection - Do not delete); shire-saddleworld (Shire Saddleworld); on-sale (On Sale - Discount On The Best Brands & Gear); eurohunter (Shop Eurohunter Equestrian Gear & Accessories)"
"CLOTHING: Clothing Mens",16,"shirt-pilbara-closed-front-long-sleeve-cobalt-blue-mens; shirt-pilbara-closed-front-long-sleeve-french-navy-mens; shirt-pilbara-closed-front-long-sleeve-terracotta-mens; hoodie-ringers-signature-bull-pullover-grey-marle-black-mens; shirt-ringers-hawkeye-full-button-navy-mens","ascot-saddlery (Ascot Saddlery); globo_basis_collection (Globo basis collection - Do not delete); ariat (Shop & Buy Ariat Clothing & Footwear)"
