Handle,Title,Product Count,Parent Collection,Product Types,Product Type Counts
horse-riding-helmets,"Buy Horse Riding Helmets For Equestrians",132,,"Helmet; Helmets; Bicycle Helmet Brim Visor; Hats & Accessories; RIDER: Helmets; helmet; Helmet Brim","Helmet: 30; Helmets: 81; Bicycle Helmet Brim Visor: 1; Hats & Accessories: 1; RIDER: Helmets: 16; helmet: 2; Helmet Brim: 1"
birds,"Shop Birds - Feed, Treats, Accessories, Supplies",124,,"Bird Food & Treats; STABLE: Show Preparation; Small Animal; Feed Supplements; Bird Cages & Furniture; Dog Toys; Belts & Bracelets; Dog Kennels Carriers & Pens; Cat Gyms & Toys; Poultry; Bird Potions & Lotions; Bird Assorted; STABLE: First Aid & Dressings; STABLE: Supplements; Dog Potions & Lotions; Dog Accessories; Bird Toys","Bird Food & Treats: 16; STABLE: Show Preparation: 2; Small Animal: 5; Feed Supplements: 1; Bird Cages & Furniture: 28; Dog Toys: 2; Belts & Bracelets: 1; Dog Kennels Carriers & Pens: 1; Cat Gyms & Toys: 7; Poultry: 6; Bird Potions & Lotions: 4; Bird Assorted: 3; STABLE: First Aid & Dressings: 2; STABLE: Supplements: 2; Dog Potions & Lotions: 2; Dog Accessories: 5; Bird Toys: 37"
vivarchie-equestrian,"Vivarchie Equestrian",118,,"(No Product Type); Accessories; Boots","(No Product Type): 116; Accessories: 1; Boots: 1"
horse-halters,"Shop Horse Halters",113,,"(No Product Type); Strapping - Halters; HORSE: Number Holders; HORSE: Headstalls; Jewellery; Halter; Halters; Lead Rope; lead rope; halter; Racing; HORSE: Racing & PVC; HORSE: Leads & Snap Hooks; HORSE: Flyveils & Bonnets; Horse Halters; Halter Set; Strapping - Strapping Accessories; Strapping - Bridles - Bridle Accessories; Feed Supplements; Horse Rugs","(No Product Type): 4; Strapping - Halters: 27; HORSE: Number Holders: 1; HORSE: Headstalls: 56; Jewellery: 3; Halter: 7; Halters: 1; Lead Rope: 1; lead rope: 1; halter: 1; Racing: 1; HORSE: Racing & PVC: 1; HORSE: Leads & Snap Hooks: 1; HORSE: Flyveils & Bonnets: 1; Horse Halters: 1; Halter Set: 1; Strapping - Strapping Accessories: 1; Strapping - Bridles - Bridle Accessories: 1; Feed Supplements: 2; Horse Rugs: 1"
living-horse-tales-jewellery-by-monika,"Living Horse Tales Jewellery By Monika",103,,"DIY Kit; Necklace; Cuff; Fob; Other; Pendants; Locket; Hatband; Earrings; Key Chain Clip; Bracelet; Key chain ring; Charm Bead; Custom Orders; bead; Book; Gift Set; Gift Certificates; tie; keyring; Bookmarks","DIY Kit: 32; Necklace: 15; Cuff: 1; Fob: 3; Other: 2; Pendants: 2; Locket: 2; Hatband: 2; Earrings: 8; Key Chain Clip: 7; Bracelet: 16; Key chain ring: 1; Charm Bead: 2; Custom Orders: 1; bead: 1; Book: 1; Gift Set: 3; Gift Certificates: 1; tie: 1; keyring: 1; Bookmarks: 1"
stirrups,"Shop Horse Riding Stirrups & Leathers",96,,"HORSE: Stock & Western; Stirrup Irons; (No Product Type); HORSE: Stirrup Leathers; Stirrup Irons - Stirrup Accessories; Synthetic Stirrup Straps; HORSE: Stirrup Irons; Saddles - Saddle Accessories; HORSE: Racing & PVC; Stirrup Leathers; Strapping - Stirrup Leathers; Strapping","HORSE: Stock & Western: 5; Stirrup Irons: 22; (No Product Type): 1; HORSE: Stirrup Leathers: 24; Stirrup Irons - Stirrup Accessories: 4; Synthetic Stirrup Straps: 1; HORSE: Stirrup Irons: 30; Saddles - Saddle Accessories: 1; HORSE: Racing & PVC: 5; Stirrup Leathers: 1; Strapping - Stirrup Leathers: 1; Strapping: 1"
horse-bandages,"Leg Wraps & Bandages For Your Horse Or Pony",78,,"Horse Boots & Bandages; Veterinary; Horse Boots; Stable Accessories; STABLE: First Aid & Dressings; RUGS: Rug Accessories; STABLE: Leather Care & Proofing; HORSE: Horse Boots; HORSE: Bits; Bandage Pads; Ear Net","Horse Boots & Bandages: 3; Veterinary: 11; Horse Boots: 40; Stable Accessories: 1; STABLE: First Aid & Dressings: 15; RUGS: Rug Accessories: 1; STABLE: Leather Care & Proofing: 1; HORSE: Horse Boots: 3; HORSE: Bits: 1; Bandage Pads: 1; Ear Net: 1"
equipe,"Shop Equipe",69,,"Strapping - Breast Plates; Saddles; Strapping - Bridles; Strapping - Reins; Saddles - Saddle Accessories; saddles; Grooming; Clothing; Clothing - Clothing Accessories; Strapping; Strapping - Bridles - Bridle Accessories; Bridle Accessories; Strapping - Martingales; Bridles; Saddle Cloths","Strapping - Breast Plates: 6; Saddles: 15; Strapping - Bridles: 10; Strapping - Reins: 7; Saddles - Saddle Accessories: 1; saddles: 2; Grooming: 1; Clothing: 1; Clothing - Clothing Accessories: 1; Strapping: 8; Strapping - Bridles - Bridle Accessories: 3; Bridle Accessories: 2; Strapping - Martingales: 3; Bridles: 2; Saddle Cloths: 7"
ippico-equestrian,"Ippico Equestrian",69,,"Sleepwear; Riding Apparel & Accessories; Equestrian; Coat Care; Horse Grooming Combs, Brushes & Mitts; Hair Accessory; Bell Boots; Storage","Sleepwear: 2; Riding Apparel & Accessories: 11; Equestrian: 6; Coat Care: 1; Horse Grooming Combs, Brushes & Mitts: 33; Hair Accessory: 9; Bell Boots: 6; Storage: 1"
accessories,"Accessories",69,,"Clothing - Clothing Accessories; Clothing; Horse Rugs; HORSE: Stock & Western; Gloves; (No Product Type); HORSE: Girths; Small Animal; Dog Walking; Horse Boots; Clothing Accessories; Clothing - Ladies Clothing; Ladies Clothing; Clothing - Kid's Clothing; Boots; Strapping; Saddle Cloths","Clothing - Clothing Accessories: 11; Clothing: 16; Horse Rugs: 2; HORSE: Stock & Western: 4; Gloves: 9; (No Product Type): 1; HORSE: Girths: 1; Small Animal: 2; Dog Walking: 2; Horse Boots: 1; Clothing Accessories: 1; Clothing - Ladies Clothing: 8; Ladies Clothing: 2; Clothing - Kid's Clothing: 1; Boots: 2; Strapping: 2; Saddle Cloths: 4"
