Handle,Title,Product Count,Parent Collection,Product Types,Product Type Counts
gifts,"Horse & Equine Gifts",21,,"Keyring; Toys; Clothing; Clothing - Clothing Accessories; Clothing Accessories; Pet; Accessories; Wallets & Handbags","Keyring: 4; Toys: 2; Clothing: 2; Clothing - Clothing Accessories: 4; Clothing Accessories: 2; Pet: 1; Accessories: 3; Wallets & Handbags: 3"
anna-scarpati,"Shop Anna Scarpati",20,,"Saddle Pad; Ear Net; t-shirt; T-Shirt; RIDER: Giftware; Breeches; Girls Breeches; Show Shirt","Saddle Pad: 8; Ear Net: 4; t-shirt: 1; T-Shirt: 1; RIDER: Giftware: 1; Breeches: 2; Girls Breeches: 1; Show Shirt: 2"
eac-animal-care,"EAC Animal Care",17,,"Horse Supplements; Pet Supplements; Donation; (No Product Type); Cover Donation Fee; Animal Husbandry","Horse Supplements: 7; Pet Supplements: 3; Donation: 3; (No Product Type): 2; Cover Donation Fee: 1; Animal Husbandry: 1"
horse-books,"Books - Fiction & Non Fiction",15,,"Books & Magazines; RIDER: Giftware; Books; Log Book Cover; Book; DIY Kit; Bookmarks","Books & Magazines: 4; RIDER: Giftware: 5; Books: 1; Log Book Cover: 2; Book: 1; DIY Kit: 1; Bookmarks: 1"
wintec,"Shop Wintec - Saddles & Equestrian Gear",15,,"Saddle Gullet; Synthetic Stirrup Straps; All Purpose; Stock & Western; Stock Stirrup Straps; Leather; Dressage Saddle","Saddle Gullet: 1; Synthetic Stirrup Straps: 2; All Purpose: 4; Stock & Western: 5; Stock Stirrup Straps: 1; Leather: 1; Dressage Saddle: 1"
diamond-deluxe-horsewear,"Diamond Deluxe Horsewear",13,,"Rug; Hood; Tailbag; Sale","Rug: 4; Hood: 4; Tailbag: 3; Sale: 2"
sterling-essentials,"Sterling Essentials",13,,"Leather Care","Leather Care: 13"
horse-queened,"HORSE QUEENED",13,,"Health Care; Horse Grooming; STABLE: Hoof Care","Health Care: 8; Horse Grooming: 3; STABLE: Hoof Care: 2"
prestige,"Shop Prestige Saddles, Bridles & Equestrian Gear",10,,"Bridle; Girth; Dressage Saddle; Leather Stirrup Straps; Strapping - Girths; Stirrup Irons; saddles","Bridle: 1; Girth: 2; Dressage Saddle: 1; Leather Stirrup Straps: 1; Strapping - Girths: 1; Stirrup Irons: 1; saddles: 3"
freejump,"Shop FreeJump Stirrups & FreejumpSystem Range",9,,"Stirrup Irons; Spurs & Straps","Stirrup Irons: 7; Spurs & Straps: 2"
peter-williams,"Peter Williams Riding Apparel - Breeches, Jodphurs, Earlwwodd & More",9,,"CLOTHING: Jodhpurs & Breeches Ladies; CLOTHING: Jodhpurs & Breeches Mens; CLOTHING: Jodhpurs & Breeches Childs","CLOTHING: Jodhpurs & Breeches Ladies: 6; CLOTHING: Jodhpurs & Breeches Mens: 1; CLOTHING: Jodhpurs & Breeches Childs: 2"
noble-outfitters,"Shop Noble Outfitters - Quality Equestrian Apparel & Accessories",8,,"Breeches & Riding Tights","Breeches & Riding Tights: 8"
vibrant-equestrian,"Vibrant Equestrian",7,,"helmet; Dog Rugs & Fashion; fly bonnet; half pad; lead rope; halter","helmet: 2; Dog Rugs & Fashion: 1; fly bonnet: 1; half pad: 1; lead rope: 1; halter: 1"
the-barbie-collection,"The Barbie Collection",7,,"RIDER: Helmets; STABLE: Grooming; HORSE: Horse Boots; HORSE: Headstalls","RIDER: Helmets: 1; STABLE: Grooming: 4; HORSE: Horse Boots: 1; HORSE: Headstalls: 1"
paddock-blade,"Shop Paddock Blade",7,,"Paddock Blades","Paddock Blades: 7"
body-protectors,"Horse Riding Safety Vests",5,,"RIDER: Body Protectors","RIDER: Body Protectors: 5"
horseware-australia,"Horseware Australia",5,,"(No Product Type)","(No Product Type): 5"
jp-equestrian-fashion,"JP Equestrian Fashion",5,,"Breeches; Socks; Shirt; Gloves","Breeches: 1; Socks: 1; Shirt: 2; Gloves: 1"
anky,"Shop ANKY",5,,"Horse Boots & Leg Wraps; Apparel & Accessories; Polo Shirt; long sleeve; Fetlock boots","Horse Boots & Leg Wraps: 1; Apparel & Accessories: 1; Polo Shirt: 1; long sleeve: 1; Fetlock boots: 1"
premier-equine,"Premier Equine",4,,"(No Product Type)","(No Product Type): 4"
ponyjet,"Ponyjet",4,,"Horse Grooming; Accessories; Shampoo; Dog Grooming & Coat Care","Horse Grooming: 1; Accessories: 1; Shampoo: 1; Dog Grooming & Coat Care: 1"
helmet-brims,"Helmet Brims",3,,"Helmet Brim; Bicycle Helmet Brim Visor; Girth Loop Adjustable","Helmet Brim: 1; Bicycle Helmet Brim Visor: 1; Girth Loop Adjustable: 1"
lemieux,"Shop Lemieux Horse Gear & Apparel",2,,"Wither relief saddlepad; saddle pad","Wither relief saddlepad: 1; saddle pad: 1"
penelope-leprovost,"Shop Penelope Leprovost Equestrian Gear & Apparel",2,,"Breeches; Saddle Pads & Blankets","Breeches: 1; Saddle Pads & Blankets: 1"
precision-microbes,"Precision Microbes",2,,"Horse Supplements; Animals & Pet Supplies","Horse Supplements: 1; Animals & Pet Supplies: 1"
can-animal-care,"CAN Animal Care",1,,"probiotics","probiotics: 1"
westerns-saddles-usa,"Buy Western Saddles",1,,"SADDLES: Stock & Western Saddles","SADDLES: Stock & Western Saddles: 1"
run-away-equestrian-co,"Runaway Equestrian Co.",1,,"Breeches","Breeches: 1"
horse-riding-accessories,"Horse Accessories",0,,"",""
feed,"Shop Feed - Horses, Dogs, Pigs, Chickens & More",0,,"",""
clippers,"Shop Horse Clippers",0,,"",""
southern-sport-horses,"Southern Sport Horses",0,,"",""
bucas-australia,"Bucas Australia",0,,"",""
equiline,"Shop Equiline Equestrian Gear",0,,"",""
southern-sport-horses-1,"Southern Sport Horses",0,,"",""
emcee-apparel,"Shop & Buy Emcee Apparel",0,,"",""
aza-equestrian,"AZA Equestrian",0,,"",""
black-friday-deals-for-equestrians,"BLACK FRIDAY DEALS 2022",0,,"",""
hygieia-san,"Shop Hygieia-San",0,,"",""
multidomain-chek,"Multidomain Chek",0,,"",""
mochara,"Shop Mochara Equestrian Apparel",0,,"",""
toklat,"Shop Toklat Equestrian Gear & Products",0,,"",""
martin-saddlery,"Shop Martin Saddlery",0,,"",""
weaver-leather,"Shop Weaver Leather - Quality Leather Products, Care & Tools",0,,"",""
leather-brothers,"Shop Leather Brothers - Collars, Leather Goods & More",0,,"",""
test-imports,"Test Imports",0,,"",""
exclusively-equine,"Exclusively Equine",0,,"",""
homeware,"Shop Homeware - Equine Themed",0,,"",""
