top_level,parent_category,subcategory_handle,product_type,action,merge_to,notes
horse,boots,exercise,Exercise Boots,include,,
accessories,gift-cards,,Gift Card,include,,
clothing,mens,,Men's,merge,mens,
rider,accessories,hats,RIDER: Hats & Caps,include,,
horse,stable,feed,STABLE: Horse Feed,include,,
rider,luggage,,Accessories - Luggage,merge,luggage,
clothing,footwear,casual,casual footwear,merge,casual,
rider,helmets,,helmet,merge,helmets,
clothing,footwear,,Footwear & Chaps,include,,add subs
clothing,tops,tshirts,T-Shirt,merge,tshirts,
clothing,sleepwear,,Sleepwear,include,,
clothing,accessories,belts,belts,merge,belts,
rider,accessories,stocks,stock,include,,
clothing,accessories,caps,cap,merge,caps,
clothing,womens,tights,Ultimate Tights,merge,tights,
clothing,accessories,hats,hats,merge,hats,
rider,luggage,handbags,Handbag,merge,wallets,
clothing,womens,leggings,Leggings,include,,
clothing,accessories,hats,Beanie,merge,hats,
accessories,,,Other,exclude,,Generic - review later
rider,accessories,whips,Stockwhip,include,,
horse,rugs,mesh,Mesh Rug,include,,
horse,rugs,flag,Flag Rug,include,,
horse,stable,insect-repellent,Insect Repellent,include,,
clothing,footwear,accessories,Footwear Accessories,include,,
horse,rugs,travel,Travel,include,,
rider,body-protectors,,Body Protector,merge,body-protectors,
horse,pads,jumping,Jump Pad,include,,
horse,tack,reins,English Reins,merge,reins,
horse,boots,eventing,Eventing Boots,include,,
horse,boots,float,Float Boots,include,,
horse,boots,magnetic,Magnetic,merge,magnetic,
horse,stable,fly-repellent,Fly Repellant,include,,
horse,veterinary,,Other Care Products,merge,veterinary,
horse,tack,martingales,Martingales,merge,martingales,
horse,tack,bridles,Double Bridle,include,,
horse,tack,bridles,Anatomic Bridle,include,,
horse,boots,ice-boots,Cold Water/Ice Boots,merge,ice-boots,
accessories,collectibles,resin,Resin,include,,
clothing,activewear,,Sports,include,,
clothing,womens,tights,Elite Tights,merge,tights,
horse,pads,,saddle pads,merge,pads,
horse,pads,,Saddle cloths,merge,pads,
horse,pads,wither-relief,Wither relief saddlepad,include,,
rider,whips,,Whips,merge,whips,
horse,boots,travel,Travel Boots,include,,
horse,boots,ice-boots,ICE BOOTS,merge,ice-boots,
horse,boots,,Horse Boots & Leg Wraps,merge,boots,
clothing,accessories,scarves,Scarf,include,,
clothing,womens,jackets,ladies jacket,include,,
clothing,kids,show-jackets,Girls Competition Jacket,merge,show-jackets,
clothing,mens,breeches,Mens Breeches,include,,
clothing,tops,long-sleeve,long sleeve,include,,
clothing,mens,trousers,Trousers,include,,
accessories,books,bookmarks,Bookmarks,include,,
rider,accessories,keychains,keyring,merge,keychains,
clothing,accessories,ties,tie,include,,
accessories,gift-cards,,Gift Certificates,merge,gift-cards,
accessories,books,,Book,merge,books,
rider,jewellery,charms,bead,merge,charms,
accessories,,,Custom Orders,exclude,,Special category - review later
rider,helmets,,Equestrian Helmets,merge,helmets,
rider,spurs,accessories,Spurs & Straps - Spurs Accessories,include,,
horse,tack,stirrup-leathers,Strapping - Stirrup Leathers,merge,stirrup-leathers,
horse,supplements,,Supplements + Care,merge,supplements,
horse,halters,,Halters,merge,halters,
horse,halters,,Halter Set,merge,halters,
horse,halters,,Horse Halters,merge,halters,
pet,supplements,probiotics,probiotics,include,,
rider,helmets,accessories,Bicycle Helmet Brim Visor,include,,
horse,tack,girths,Girth Loop Adjustable,merge,girths,
rider,helmets,accessories,Helmet Brim,merge,accessories,
horse,tack,girths,Strapping - Girths - Girth Accessories,merge,girths,
horse,,,Animal Husbandry,exclude,,Generic - review later
horse,bonnets,,Fly Hood,merge,bonnets,
horse,bonnets,,Fly Bonnet,merge,bonnets,
horse,boots,bandages,Bandage Pads,merge,bandages,
horse,stable,rug-racks,Rug Rack,include,,
horse,stable,wrap-bags,Wrap Bag,include,,
horse,stable,leather-care,Tack Cleaning,merge,leather-care,
accessories,books,,Books,merge,books,
clothing,tops,polo-shirts,Polo Top,merge,polo-shirts,
clothing,kids,casual,CLOTHING: Casual Clothing Childs,include,,
horse,racing,harness,Harness Racing,include,,
clothing,mens,casual,CLOTHING: Casual Clothing Mens,include,,
clothing,tops,,Shirts & Tops,merge,tops,
clothing,mens,breeches,CLOTHING: Jodhpurs & Breeches Mens,merge,breeches,
horse,halters,,halter,merge,halters,
horse,halters,lead-ropes,lead rope,merge,lead-ropes,
horse,pads,half-pads,half pad,merge,half-pads,
horse,bonnets,,fly bonnet,merge,bonnets,
clothing,kids,jackets,Kids Jacket,include,,
horse,stable,storage,Storage,include,,
clothing,accessories,hats,beanies,merge,hats,
clothing,tops,,Top,merge,tops,
clothing,tops,,top,merge,tops,
clothing,accessories,socks,socks,merge,socks,
clothing,womens,tights,Active tights,merge,tights,
accessories,,,accessoriess,exclude,,Typo - review later
horse,grooming,shampoo,Shampoo,include,,
rider,accessories,keychains,Key chain ring,merge,keychains,
clothing,womens,tights,riding tights,merge,tights,
rider,luggage,wallets,Wallet,merge,wallets,
clothing,tops,sweaters,Jumper,merge,sweaters,
clothing,footwear,ugg-boots,UGG Boots,include,,
pet,,,Animals & Pet Supplies,exclude,,Generic - review later
rider,accessories,headbands,Head Band,include,,
clothing,bottoms,shorts,Shorts,include,,
rider,luggage,bags,Saddle Bag,merge,bags,
horse,training,ropes,Rope,include,,
horse,boots,polos-wraps,Polos and Wraps,include,,
horse,pads,all-purpose,All Purpose Pads,include,,
rider,luggage,bags,Bags,merge,bags,
horse,tack,stirrup-leathers,Stock Stirrup Straps,merge,stirrup-leathers,
accessories,tools,,Knife,include,,
horse,rugs,rain,Rain Rugs,include,,
horse,veterinary,,Coat and Hoof care,merge,veterinary,
pet,pony,,Shetland Pony,include,,
horse,boots,therapy,Infrared Therapy,merge,therapy,
horse,boots,stable,Stable Boots,include,,
rider,accessories,keychains,Key Chain,merge,keychains,
horse,veterinary,,Horse Health & Tack Care,merge,veterinary,
horse,training,lunge-equipment,Lunge Roller,include,,
pet,dog,supplements,Dog Supplements,merge,supplements,
horse,boots,jumping,Jumping Boots,include,,
horse,boots,fly-boots,Fly Boots,include,,
horse,tack,stirrup-irons,Stirrups,merge,stirrup-irons,
horse,bonnets,fly-masks,Fly Masks,merge,fly-masks,
clothing,womens,tights,Riding Tights,merge,tights,
rider,whips,,whip,merge,whips,
horse,tack,bridles,Nosebandless Bridle,include,,
horse,grooming,plaiting,plaiting kit,merge,plaiting,
horse,tack,martingales,Martingale Attachment,merge,martingales,
horse,rugs,accessories,quarter guard,include,,
clothing,womens,tops,LADIES SHIRT,merge,tops,
horse,stable,bags,stable Bag,include,,
rider,jewellery,cuffs,Cuff,include,,
rider,luggage,bags,backpack,merge,bags,
horse,rugs,riding,riding rug,include,,
accessories,,,Cover Donation Fee,exclude,,Special fee - review later
