from_path,to_path,redirect_type,origin,source,status,notes
/collections/visentin-equestrian,/brands/visentin,301,collections_csv,,,
/collections/paddock-blade,/horse/stable/paddock,301,collections_csv,,,
/collections/ego-7,/brands/ego-7,301,collections_csv,,,
/collections/exclusively-equine,/clothing,301,collections_csv,,,
/collections/gifts,/accessories/gifts,301,collections_csv,,,
/collections/homeware,/accessories/homeware,301,collections_csv,,,
/collections/tacklet,/horse/tack/accessories,301,collections_csv,,,
/collections/shire-saddleworld,/accessories/gifts,301,collections_csv,,,
/collections/horse-queened,/brands/horse-queened,301,collections_csv,,,
/collections/zilco/hind-fetlock,/brands/zilco,301,collections_csv,,,
/collections/zilco/cryochaps,/brands/zilco,301,collections_csv,,,
/collections/zilco/ice,/brands/zilco,301,collections_csv,,,
/collections/zilco/bell,/brands/zilco,301,collections_csv,,,
/collections/zilco/exercise,/horse/boots/exercise,301,collections_csv,,,
/collections/wintec/jumping,/horse/boots/jumping,301,collections_csv,,,
/collections/wintec/dressage,/horse/pads/dressage,301,collections_csv,,,
/collections/stirrups/leathers,/horse/tack/stirrup-leathers,301,collections_csv,,,
/collections/stirrups/freejump,/horse/tack/freejump-stirrups,301,collections_csv,,,
/collections/kentucky/white,/brands/kentucky,301,collections_csv,,,
/collections/kentucky/dressage,/brands/kentucky,301,collections_csv,,,
/collections/kentucky/black,/brands/kentucky,301,collections_csv,,,
/collections/hairy-pony/equinade-shampoo,/brands/hairy-pony,301,collections_csv,,,
/collections/dyon/bridles,/horse/tack/bridles,301,collections_csv,,,
/collections/birds/poultry,/pet/poultry,301,collections_csv,,,
/collections/birds/toys,/hirt,301,collections_csv,,,
/collections/base-layers/grey,/clothing/tops/base-layers,301,collections_csv,,,
/collections/base-layers/white,/clothing/tops/base-layers,301,collections_csv,,,
/collections/base-layers/navy,/clothing/activewear/base-layers,301,collections_csv,,,
/collections/base-layers/black,/clothing/tops/base-layers,301,collections_csv,,,
/collections/ariat/hats,/clothing/accessories/hats,301,collections_csv,,,
/collections/ariat/western-spurs,/brands/ariat,301,collections_csv,,,
/collections/ariat/ego-7,/brands/ariat,301,collections_csv,,,
/collections/ariat/baxter-boots,/brands/ariat,301,collections_csv,,,
/collections/ariat/roper-boots,/brands/ariat,301,collections_csv,,,
/collections/ariat/bags,/rider/luggage/bags,301,collections_csv,,,
/collections/ariat/cavallo,/brands/ariat,301,collections_csv,,,
/collections/ariat/mens,/brands/ariat,301,collections_csv,,,
/collections/ariat/spurs-and-straps,/brands/ariat,301,collections_csv,,,
/collections/ariat/stirrups-and-leathers,/horse/tack/stirrups,301,collections_csv,,,
/collections/ariat/womens,/clothing/womens,301,collections_csv,,,
/collections/ariat/jeans,/clothing/mens/jeans,301,collections_csv,,,
/collections/ariat/ariat,/brands/ariat,301,collections_csv,,,
/collections/peter-williams/harcour,/brands/peter-williams,301,collections_csv,,,
/collections/peter-williams/high-waisted,/brands/peter-williams,301,collections_csv,,,
/collections/peter-williams/grey,/brands/peter-williams,301,collections_csv,,,
/collections/peter-williams/brown,/brands/peter-williams,301,collections_csv,,,
/collections/peter-williams/black,/brands/peter-williams,301,collections_csv,,,
/collections/breeches/harcour,/clothing/womens/breeches,301,collections_csv,,,
/collections/breeches/samshield,/clothing/womens/breeches,301,collections_csv,,,
/collections/breeches/high-waisted,/clothing/womens/breeches,301,collections_csv,,,
/collections/breeches/grey,/clothing/womens/breeches,301,collections_csv,,,
/collections/breeches/brown,/clothing/womens/breeches,301,collections_csv,,,
/collections/breeches/black,/clothing/womens/breeches,301,collections_csv,,,
/collections/accessories/water-bottles,/rider/accessories/water-bottles,301,collections_csv,,,
/collections/test-imports/blue,/accessories/gifts,301,collections_csv,,,
/collections/stable-and-yard/feeder,/horse/stable/feeding,301,collections_csv,,,
/collections/stable-and-yard/hay-feeders,/horse/stable/hay-feeders,301,collections_csv,,,
/collections/horse-toys/the-trail-of-the-painted-pony,/accessories/collectibles,301,collections_csv,,,
/collections/horse-toys/breyer,/accessories/collectibles/breyer,301,collections_csv,,,
/collections/horse-halters/breakaway,/horse/halters/breakaway,301,collections_csv,,,
/collections/horse-halters/rope,/horse/training/ropes,301,collections_csv,,,
/collections/horse-halters/lemieux,/horse/halters,301,collections_csv,,,
/collections/saddles/equipe,/horse/saddles/equipe,301,collections_csv,,,
/collections/saddles/arena,/horse/saddles/arena,301,collections_csv,,,
/collections/saddles/jumping,/horse/saddles/jumping,301,collections_csv,,,
/collections/saddles/all-purpose,/horse/saddles/all-purpose,301,collections_csv,,,
/collections/saddles/dressage,/horse/saddles/dressage,301,collections_csv,,,
/collections/saddle-pads/fig,/horse/pads,301,collections_csv,,,
/collections/saddle-pads/bluebell,/horse/pads,301,collections_csv,,,
/collections/saddle-pads/ps-of-sweden,/horse/pads,301,collections_csv,,,
/collections/saddle-pads/mattes,/horse/pads/mattes,301,collections_csv,,,
/collections/saddle-pads/bareback,/horse/pads/bareback,301,collections_csv,,,
/collections/saddle-pads/red,/horse/pads,301,collections_csv,,,
/collections/saddle-pads/pink,/horse/pads,301,collections_csv,,,
/collections/saddle-pads/jumping,/horse/pads/jumping,301,collections_csv,,,
