top_level,parent_category,subcategory_handle,product_type,action,merge_to,notes
,,,Saddles - Saddle Accessories,,,
,,,Western Pads,,,
,,,Shirt,,,
,,,STABLE: Wormers,,,
,,,RIDER: Jewellery,,,
,,,CLOTHING: Jodhpurs & Breeches Childs,,,
,,,HAT,,,
,,,Caps,,,
,,,Whips and Crops,,,
,,,Ear Bonnets,,,
,,,Strapping - Reins,,,
,,,Horse Supplements,,,
,,,Tall Boots,,,
,,,Poultry,,,
,,,STABLE: Ice Boots,,,
,,,Hair Accessory,,,
,,,Strapping - Martingales,,,
,,,Ladies Clothing,,,
,,,Clothing Accessories,,,
,,,saddles,,,
,,,Earrings,,,
,,,Ladies Shirt,,,
,,,Hats,,,
,,,Riding Pants,,,
,,,Horse Grooming,,,
,,,breeches,,,
,,,CLOTHING: Casual Clothing Ladies,,,
,,,SADDLES: Jumping Saddles,,,
,,,Feeding,,,
,,,Gel & Comfort Pads,,,
,,,Ear Bonnet,,,
,,,Jump Saddle,,,
,,,Stock & Western Reins,,,
,,,Vet Supplies,,,
,,,Womens Jeans,,,
,,,Wallets & Handbags,,,
,,,Number Holders,,,
,,,Strapping - Bridles - Bridle Accessories,,,
,,,t-shirt,,,
,,,Key Chain Clip,,,
,,,Stirrups and leathers,,,
,,,long socks,,,
,,,Fly Mask,,,
,,,Paddock Blades,,,
,,,Stock & Western Pads,,,
,,,Spurs and Spur Straps,,,
,,,Toys,,,
,,,Hanoverian Bridle,,,
,,,Horse Rugs - Rug Accessories,,,
,,,Strapping - Breast Plates,,,
,,,jacket,,,
,,,Cap,,,
,,,Pendants,,,
,,,breastplate,,,
,,,Sweater,,,
,,,RIDER: Chapettes & Gaiters,,,
,,,Dog Kennels Carriers & Pens,,,
,,,Tops,,,
,,,Equestrian,,,
,,,"Coat, Hoof & Grooming",,,
,,,Saddle Accessories,,,
,,,Freedom Tights,,,
,,,Rider Accessories,,,
,,,Cavesson Bridle,,,
,,,Jackets,,,
,,,Saddle,,,
,,,saddle pad,,,
,,,Luggage,,,
,,,Mens Show Shirt,,,
,,,Girls Breeches,,,
,,,Jeans,,,
,,,Knitwear,,,
,,,Pearl Necklace,,,
,,,Bangles,,,
,,,Stirrup Irons - Stirrup Accessories,,,
,,,jumper,,,
,,,Bandages,,,
,,,beanie,,,
,,,shirt,,,
,,,SADDLES: Stock & Western Saddles,,,
,,,RIDER: Body Protectors,,,
,,,CLOTHING: Belts,,,
,,,Girth Accessories,,,
,,,FOOTWEAR CLEARANCE,,,
,,,Bag,,,
,,,Accessoriess,,,
,,,HORSE RUG CLEARANCE,,,
,,,Training and Lunging,,,
,,,Saddle Gullet,,,
,,,Synthetic Stirrup Straps,,,
,,,Beanies,,,
,,,Winter Rugs,,,
,,,Dressage Pads,,,
,,,Half Pads,,,
,,,Magnetic Boots,,,
,,,Noseband,,,
,,,brush,,,
,,,horse care,,,
,,,grooming,,,
,,,Bitless Bridle,,,
,,,Saddlepad,,,
,,,Saddle Cloth,,,
,,,Bridle Accessories,,,
,,,Bits - Bit Accessories,,,
,,,Therapy Boots,,,
,,,Boys Competition Jacket,,,
,,,Polo Shirt,,,
,,,Vest,,,
,,,Leather Plaited Belt,,,
,,,Hood,,,
,,,Half Chaps,,,
,,,Books & Magazines,,,
,,,Lead Rope,,,
