handle,title,product_type,current_category_path
"ariat-womens-terrain-zip-waterproof-boot","Ariat Women's Terrain Zip Waterproof Boot","","/clothing/footwear"
"mens-groundbreaker-wide-square-toe-waterproof","MEN'S GROUNDBREAKER WIDE SQUARE TOE WATERPROOF","","/clothing/footwear/western"
"mens-turbo-chelsea-waterproof","MEN'S TURBO CHELSEA WATERPROOF","Boots","/clothing/footwear/casual"
"mens-workhog-xt-venttek-bold-waterproof-ct","MEN'S WORKHOG XT VENTTEK BOLD WATERPROOF CT","","/clothing/footwear/western"
"womens-wexford-waterproof-chelsea","WOMEN'S WEXFORD WATERPROOF CHELSEA","Womens Footwear","/clothing/footwear/womens"
