trailrace_item_id,trailrace_title,trailrace_price_aud,trailrace_clicks,trailrace_impressions,trailrace_cost_aud,trailrace_conversion_value_aud,trailrace_roas,trailrace_paid_label
shopify_au_7602761924827_42680318886107,Charles Owen Hampton Hat Navy / 59cm,539.0,142,0.0,91.95,469.51,5.11,tr_c
shopify_au_8873083470043_46742895198427,Trolle Wave Tech Jersey Saddle Pad - Jumping Navy / Full,329.95,1,144.0,27.98,468.65,16.75,tr_c
shopify_au_9456008298715_49175807852763,Samshield Victorine Tails Crystal Fabric Black 44 Black / 38,990.0,1,87.0,0.33,450.0,1363.64,tr_c
shopify_au_8861113942235_48336635298011,KASK Star Lady Pure Shine - WG11 Swarovski Carpet Black / 53cm-56cm,1595.0,36,0.0,51.97,409.19,7.87,tr_c
shopify_au_8878736474331_46765872185563,Samshield Miss Glossy 2.0 - Crystal Bloom Black / Large,1498.0,74,0.0,64.35,362.02,5.63,tr_c
shopify_au_8304580034779_45030340002011,Lami-Cell Titanium Hood with Ears Large,139.95,38,0.0,59.11,300.73,5.09,tr_c
shopify_au_7999489147099_44025142870235,Samshield Come Men's Competition Shirt White / Small,295.0,1,18.0,0.46,289.9,630.22,tr_c
shopify_au_6819507536060_39989363507388,Pro Ice Boots | Lami-Cell | Trailrace,181.95,29,0.0,35.65,255.24,7.16,tr_c
shopify_au_650309697559_7421904453655,Correction System | Mattes Show Jumping / Medium,34.95,40,0.0,37.66,246.76,6.55,tr_c
shopify_au_6122325311676_37652685914300,Busy Buddy | Thinline Bridle,41.95,43,0.0,34.83,224.8,6.45,tr_c
shopify_au_8512864354523_45592439062747,KASK Star Lady Hunter - WG11 Black / 53cm-56cm,945.0,60,0.0,59.39,211.67,3.56,tr_c
shopify_au_8482555363547_45499466875099,EQx Kylo with MIPS - Wide Peak Navy / Small,359.0,139,0.0,83.91,195.63,2.33,tr_c
shopify_au_9163131224283_48273202905307,Mattes Eurofit Dressage Sheen - Graphite - Crystal Braid,219.0,17,0.0,29.19,174.9,5.99,tr_c
shopify_au_9014731735259_47818123477211,Samshield Victorine Premium Riding Jacket - FW25 Black/Cosmic Nights / 34,940.0,47,0.0,52.61,149.97,2.85,tr_c
shopify_au_8888707907803_47893015232731,KASK Star Lady Pure Shine - WG11 Swarovski Midnight Atlantic Blue/Abisso / 57cm-59cm,2150.0,26,0.0,17.46,136.95,7.84,tr_c
shopify_au_7865001083099_43510148628699,Kentucky Horsewear Moonboots Air Elastic Black / Medium,269.95,5,170.0,39.58,135.63,3.43,tr_c
shopify_au_8304580034779_45030339969243,Lami-Cell Titanium Hood with Ears Medium,139.95,38,0.0,42.76,134.64,3.15,tr_c
