issue_type,dest_path,priority,inlink_rows,unique_sources,recommended_url,example_source,top_anchor,source_class,status,action
3xx,/clothing/footwear/boots/ego7-orion-long-boot-laces-black-size-40-45,P3,1,1,/clothing/footwear/riding-boots/ego7-orion-long-boot-laces-black-size-40-45,/products/ego7-orion-long-boot-laces-black-size-40-45,,other,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/clothing/footwear/boots/tucci-harley-short-boot,P3,1,1,/horse/stable/paddock/tucci-harley-short-boot,/products/tucci-harley-short-boot,,other,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/clothing/footwear/tucci,P3,1,1,,/clothing/footwear,Tucci collection,content,Temporary Redirect,"Resolve final 200 destination for bad_url, then replace internal links directly to that final URL"
3xx,/clothing/kids/cavalleria-toscana-kids-jodphur-breeches,P3,1,1,/clothing/kids/breeches/cavalleria-toscana-kids-jodphur-breeches,/clothing/kids/cavalleria-toscana-girls-love-horses-girls,Kids Jodphur Breeches,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/clothing/outerwear/jackets/cavalleria-toscana-mens-tech-knit-zip-riding-jacket,P3,1,1,,/clothing/outerwear/riding-jackets/cavalleria-toscana-revo-premier-3-way-jacket-mens,Cavalleria Toscana Men's Tech Knit Zip Riding Jacket,content,Temporary Redirect,"Resolve final 200 destination for bad_url, then replace internal links directly to that final URL"
3xx,/clothing/womens/animo-ss20-mael-mens-breeches,P3,1,1,/clothing/mens/breeches/animo-ss20-mael-mens-breeches,/,On Sale Animo's MAEL Breeches For Men $308.00 (was $428.00) ★★★★★ 5.0 (1),homepage_content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/clothing/womens/diamond-breeches,P3,1,1,/clothing/womens/breeches/diamond-breeches,/products/diamond-breeches,,other,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/clothing/womens/mia-phone-pocket-breech-grey,P3,1,1,/clothing/womens/breeches/mia-phone-pocket-breech-grey,/products/mia-phone-pocket-breech-grey,,other,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/clothing/womens/millie-winter-breech,P3,1,1,/clothing/womens/breeches/millie-winter-breech,/products/millie-winter-breech,,other,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/clothing/womens/samshield-adele-breeches-metal-dots-black,P3,1,1,/clothing/womens/breeches/samshield-adele-breeches-metal-dots-black,/clothing/womens/samshield-stella-sweat-shirt,free shipping,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/collections/anna-scarpati,P3,1,1,/brands/anna-scarpati,/horse/pads/jumping/matching-set-anna-scarpati-quiri-57-jump-pad-zeug-57-fly-hood-rosa-antico,Back To The Anna Scarpati Collection,content,Moved Permanently,Replace all internal links pointing to bad_url with recommended_url
3xx,/collections/cavalleria-toscana,P3,1,1,/brands/cavalleria-toscana,/,Cavalleria Toscana,homepage_content,Moved Permanently,Replace all internal links pointing to bad_url with recommended_url
3xx,/collections/equipe,P3,1,1,/brands/equipe,/,Equipe,homepage_content,Moved Permanently,Replace all internal links pointing to bad_url with recommended_url
3xx,/collections/farrier-tools,P3,1,1,/horse/stable/farrier,/news/how-long-do-horses-live,hoof trims,content,Moved Permanently,Replace all internal links pointing to bad_url with recommended_url
3xx,/collections/fly-veils-and-hoods,P3,1,1,/horse/bonnets,/news/best-horse-fly-spray,Fly Masks and Meshes,content,Moved Permanently,Replace all internal links pointing to bad_url with recommended_url
3xx,/collections/footwear/baxter-boots,P3,1,1,/clothing/footwear/boots,/news/best-boots-for-horse-riding,Baxter boots here,content,Moved Permanently,Replace all internal links pointing to bad_url with recommended_url
3xx,/collections/footwear/childrens,P3,1,1,/clothing/kids/footwear,/news/best-boots-for-horse-riding,riders and young children,content,Moved Permanently,Replace all internal links pointing to bad_url with recommended_url
3xx,/collections/footwear/mens,P3,1,1,/clothing/footwear/mens,/news/best-boots-for-horse-riding,specifically meant for men,content,Moved Permanently,Replace all internal links pointing to bad_url with recommended_url
3xx,/collections/footwear/top-boots,P3,1,1,/clothing/footwear/tall-boots,/news/best-boots-for-horse-riding,Tall boots,content,Moved Permanently,Replace all internal links pointing to bad_url with recommended_url
3xx,/collections/footwear/womens,P3,1,1,/clothing/footwear/womens,/news/best-boots-for-horse-riding,designed for women,content,Moved Permanently,Replace all internal links pointing to bad_url with recommended_url
3xx,/collections/helmet-brims,P3,1,1,/rider/helmets,/news/kask-kooki-lady-review,sun-protecting wide brim,content,Moved Permanently,Replace all internal links pointing to bad_url with recommended_url
3xx,/collections/horse-bits,P3,1,1,/horse/bits,/news/horse-bridle-size-guide,bit,content,Moved Permanently,Replace all internal links pointing to bad_url with recommended_url
3xx,/collections/horse-boots,P3,1,1,/horse/boots,/news/splints-in-horses,safeguard your horse's legs,content,Moved Permanently,Replace all internal links pointing to bad_url with recommended_url
3xx,/collections/horse-boots/cryochaps,P3,1,1,/horse/boots/ice-boots,/news/windgalls-in-horses,Cryochaps,content,Moved Permanently,Replace all internal links pointing to bad_url with recommended_url
3xx,/collections/horse-boots/jumping,P3,1,1,/horse/boots/jumping,/news/how-to-walk-a-showjumping-distance,showjumping boots,content,Moved Permanently,Replace all internal links pointing to bad_url with recommended_url
3xx,/collections/horse-boots/tendon,P3,1,1,/horse/boots/tendon-boots,/news/diy-ice-boots-for-horses,tendon boots,content,Moved Permanently,Replace all internal links pointing to bad_url with recommended_url
3xx,/collections/horse-halters,P3,1,1,/horse/halters,/news/horse-halter-types,horse halter,content,Moved Permanently,Replace all internal links pointing to bad_url with recommended_url
3xx,/collections/horse-health/kelato,P3,1,1,/horse/supplements/kelato,/horse/supplements/kelato-muscle-guard-paste-30gm,Back To The Kelato Collection,content,Moved Permanently,Replace all internal links pointing to bad_url with recommended_url
3xx,/collections/horse-health/msm,P3,1,1,/horse/supplements/msm,/news/benefits-of-methylsulfonylmethane-for-horses,MSM for horses,content,Moved Permanently,Replace all internal links pointing to bad_url with recommended_url
3xx,/collections/horse-health/psyllium-husk,P3,1,1,/horse/supplements/psyllium-husk,/news/psyllium-husk-for-horses,VIEW OUR RANGE OF PSYLLIUM HUSK PRODUCTS,content,Moved Permanently,Replace all internal links pointing to bad_url with recommended_url
3xx,/collections/horse-health/wound-care,P3,1,1,/horse/veterinary/wound-care,/news/horse-spray-on-bandage-application-in-silver-eac-animal-care,CLICK HERE FOR ALL WOUND CARE PRODUCTS,content,Moved Permanently,Replace all internal links pointing to bad_url with recommended_url
3xx,/collections/horse-riding-apparel/mens-breeches,P3,1,1,/clothing/mens/breeches,/news/animo-history,men's breeches,content,Moved Permanently,Replace all internal links pointing to bad_url with recommended_url
3xx,/collections/horse-riding-apparel/show-jackets,P3,1,1,/clothing/kids/show-jackets,/news/animo-history,riding jackets,content,Moved Permanently,Replace all internal links pointing to bad_url with recommended_url
3xx,/collections/horse-riding-apparel/womens-breeches,P3,1,1,/clothing/womens/breeches,/news/animo-history,women's breeches,content,Moved Permanently,Replace all internal links pointing to bad_url with recommended_url
3xx,/collections/horse-riding-helmets/samshield,P3,1,1,/rider/helmets,/news/best-horse-riding-helmet-australia,CLICK HERE TO VIEW ALL SAMSHIELD HELMETS,content,Moved Permanently,Replace all internal links pointing to bad_url with recommended_url
3xx,/collections/horse-rugs/stable,P3,1,1,/horse/rugs,/news/horse-rug-size-chart,stable,content,Moved Permanently,Replace all internal links pointing to bad_url with recommended_url
3xx,/collections/kentucky,P3,1,1,/brands/kentucky,/,Kentucky Horsewear,homepage_content,Moved Permanently,Replace all internal links pointing to bad_url with recommended_url
3xx,/collections/luggage/ariat,P3,1,1,/rider/luggage,/news/saddle-pads-storage-ideas,Ariat bags collection,content,Moved Permanently,Replace all internal links pointing to bad_url with recommended_url
3xx,/collections/pets/dog-coats,P3,1,1,/pet/dog/coats-and-rugs,/news/how-tight-should-a-dog-collar-be,dog coats,content,Moved Permanently,Replace all internal links pointing to bad_url with recommended_url
3xx,/collections/pets/hemp-oil-for-dogs,P3,1,1,/pet/dog/supplements,/news/how-often-can-i-give-my-dog-hemp-oil-for-anxiety,Hemp oil,content,Moved Permanently,Replace all internal links pointing to bad_url with recommended_url
3xx,/collections/pets/rogz-harness,P3,1,1,/pet/dog/collars-and-leads,/news/how-tight-should-a-dog-collar-be,Rogz range of dog harnesses,content,Moved Permanently,Replace all internal links pointing to bad_url with recommended_url
3xx,/collections/prestige,P3,1,1,/brands/prestige,/,Prestige,homepage_content,Moved Permanently,Replace all internal links pointing to bad_url with recommended_url
3xx,/collections/ps-of-sweden,P3,1,1,/brands/ps-of-sweden,/,PS of Sweden,homepage_content,Moved Permanently,Replace all internal links pointing to bad_url with recommended_url
3xx,/collections/saddle-pads/dressage,P3,1,1,/horse/pads/dressage,/news/saddle-pads-storage-ideas,dressage pad,content,Moved Permanently,Replace all internal links pointing to bad_url with recommended_url
3xx,/collections/saddle-pads/jumping,P3,1,1,/horse/pads/jumping,/news/saddle-pads-storage-ideas,jumping pad,content,Moved Permanently,Replace all internal links pointing to bad_url with recommended_url
3xx,/collections/saddles/all-purpose,P3,1,1,/horse/saddles/all-purpose,/news/how-to-measure-a-saddle,English saddles,content,Moved Permanently,Replace all internal links pointing to bad_url with recommended_url
3xx,/collections/saddles/dressage,P3,1,1,/horse/saddles/dressage,/news/how-to-measure-a-saddle,used in dressage,content,Moved Permanently,Replace all internal links pointing to bad_url with recommended_url
3xx,/collections/samshield,P3,1,1,/brands/samshield,/news/samshield-helmet-review,Samshield Helmet,content,Moved Permanently,Replace all internal links pointing to bad_url with recommended_url
3xx,/collections/stirrups,P3,1,1,/horse/tack/stirrups,/news/how-to-put-stirrups-on-a-saddle,stirrups,content,Moved Permanently,Replace all internal links pointing to bad_url with recommended_url
3xx,/collections/stirrups/leathers,P3,1,1,/horse/tack/stirrup-leathers,/news/how-to-put-stirrups-on-a-saddle,stirrup leathers,content,Moved Permanently,Replace all internal links pointing to bad_url with recommended_url
3xx,/collections/strapping/reins,P3,1,1,/horse/tack/reins,/news/horse-bridle-size-guide,reins,content,Moved Permanently,Replace all internal links pointing to bad_url with recommended_url
3xx,/collections/strapping/showjumping-girths,P3,1,1,/horse/tack/girths,/news/how-to-walk-a-showjumping-distance,showjumping and stud girths,content,Moved Permanently,Replace all internal links pointing to bad_url with recommended_url
3xx,/horse-nutrition/how-to-incorporate-brewers-yeast-into-a-horses-diet,P3,1,1,/horse,/blogs/horse-nutrition/how-to-incorporate-brewers-yeast-into-a-horses-diet,,other,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/horse/bits/curb-chain-hooks-gold-medal,P3,1,1,/horse/bits/accessories/curb-chain-hooks-gold-medal,/products/curb-chain-hooks-gold-medal,,other,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/horse/bonnets/fly-mask-lycra-pull-on-kool-master-turquoise-black,P3,1,1,/horse/bonnets/fly-masks/fly-mask-lycra-pull-on-kool-master-turquoise-black,/products/fly-mask-lycra-pull-on-kool-master-turquoise-black,,other,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/horse/boots/bandages/waldhausen-florence-fleece-bandages-night-blue,P3,1,1,,/horse/boots/overreach/waldhausen-comfort-overreach-boot-fur-alpine-blue,Waldhausen Florence Fleece Bandages,content,Temporary Redirect,"Resolve final 200 destination for bad_url, then replace internal links directly to that final URL"
3xx,/horse/boots/bell-boots-goose-neck-black-size-2,P3,1,1,/horse/boots/bell-boots/bell-boots-goose-neck-black-size-2,/products/bell-boots-goose-neck-black-size-2,,other,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/horse/boots/cryochaps-ice-wrap-boots-2-sizes,P3,1,1,/horse/boots/ice-boots/cryochaps-ice-wrap-boots-2-sizes,/products/cryochaps-ice-wrap-boots-2-sizes,,other,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/horse/boots/fetlock/kentucky-horsewear-moonboots-air-x-elastic,P3,1,1,,/horse/boots/fetlock/kentucky-horsewear-moonboots-max-elastic,Moonboots Air X Elastic,content,Temporary Redirect,"Resolve final 200 destination for bad_url, then replace internal links directly to that final URL"
3xx,/horse/boots/kentucky-tendon-boots-elastic,P3,1,1,/horse/boots/tendon-boots/kentucky-tendon-boots-elastic,/horse/boots/kentucky-tendon-grip-gel-sock,Kentucky Tendon Boots - Elastic,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/horse/boots/polos-wraps/psos-polos-moss,P3,1,1,,/horse/boots/polos-wraps,PSOS Polos Moss,content,Temporary Redirect,"Resolve final 200 destination for bad_url, then replace internal links directly to that final URL"
3xx,/horse/boots/polos-wraps/psos-polos-neptuna,P3,1,1,,/horse/boots/polos-wraps,PSOS Polos Neptuna,content,Temporary Redirect,"Resolve final 200 destination for bad_url, then replace internal links directly to that final URL"
3xx,/horse/boots/tendon-boots/pei-kevlar-airtechnology-tendon-boots,P3,1,1,,/horse/boots/tendon-boots/anky-new-technical-proficient-boot,PEI Kevlar Airtechnology Tendon Boots,content,Temporary Redirect,"Resolve final 200 destination for bad_url, then replace internal links directly to that final URL"
3xx,/horse/boots/thinline-velcro-bell-boot,P3,1,1,/horse/boots/bell-boots/thinline-velcro-bell-boot,/horse/boots/thinline-pastern-wraps-1,ThinLine Velcro Bell Boot,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/horse/grooming/brushes/haas-wash-brush,P3,1,1,,/horse/grooming/brushes/akubra-hat-brush,HAAS Wash Brush,content,Temporary Redirect,"Resolve final 200 destination for bad_url, then replace internal links directly to that final URL"
3xx,/horse/grooming/coat-care/ntr-mark-hold-250ml,P3,1,1,,/horse/grooming/coat-care,NTR Mark & Hold,content,Temporary Redirect,"Resolve final 200 destination for bad_url, then replace internal links directly to that final URL"
3xx,/horse/grooming/dr-show-all-in-1-shampoo-1lt,P3,1,1,,/horse/grooming/dr-show-mane-tail-detangler-250ml,Dr Show All in 1 Shampoo,content,Temporary Redirect,"Resolve final 200 destination for bad_url, then replace internal links directly to that final URL"
3xx,/horse/grooming/hairy-pony-grooming-bag,P3,1,1,/horse/grooming/bags/hairy-pony-grooming-bag,/horse/grooming/plaiting/hairy-pony-plaiting-thread-flat-waxed-small,Grooming Bag By Hairy Pony,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/horse/grooming/hairy-pony-plaiting-needles-stainless-steel,P3,1,1,/horse/grooming/plaiting/hairy-pony-plaiting-needles-stainless-steel,/horse/grooming/hairy-pony-scissors-fastening,Hairy Pony 'Fake It',content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/horse/grooming/shampoo/equidae-soothing-calm-shampoo-500ml,P3,1,1,,/horse/grooming/coat-care/soothing-calm-conditioner-500ml,SOOTHING & CALM Shampoo,content,Temporary Redirect,"Resolve final 200 destination for bad_url, then replace internal links directly to that final URL"
3xx,/horse/grooming/show-prep/cowboy-magic-conditioner-473ml,P3,1,1,/horse/grooming/cowboy-magic-conditioner-473ml,/horse/grooming/show-prep/cowboy-magic-detangler-shine-473ml,Cowboy Magic Conditioner,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/horse/halters/leads/thinline-breakaway-halter,P3,1,1,/horse/halters/thinline-breakaway-halter,/products/thinline-breakaway-halter,,other,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/horse/halters/leads/training-lead-snap-12ft-3-66mt-eurohunter-purple,P3,1,1,,/horse/halters/leads/training-lead-snap-10ft-3-05mt-eurohunter-purple,12ft Eurohunter Lead,content,Temporary Redirect,"Resolve final 200 destination for bad_url, then replace internal links directly to that final URL"
3xx,/horse/halters/leads/training-lead-snap-23ft-7-01mt-eurohunter-black,P3,1,1,,/horse/halters/leads/training-lead-snap-10ft-3-05mt-eurohunter-black,23ft Eurohunter Lead,content,Temporary Redirect,"Resolve final 200 destination for bad_url, then replace internal links directly to that final URL"
3xx,/horse/pads/cavalleria-toscana-all-over-embroidery-saddle-pad-dressage,P3,1,1,/horse/pads/dressage/cavalleria-toscana-all-over-embroidery-saddle-pad-dressage,/,On Sale Cavalleria Toscana All Over Embroidery Saddle Pad- Dressage $209.00 (was $299.95) ★★★★★ 5.0 (1),homepage_content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/horse/pads/close-contact-tech-grip-pro-anti-slip-saddle-pad-dressage-square,P3,1,1,/horse/pads/dressage/close-contact-tech-grip-pro-anti-slip-saddle-pad-dressage-square,/horse/pads/close-contact-merino-wool-european-saddle-pad-dressage-square,Merino wool,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/horse/pads/jumping/kentucky-saddle-pad-glitter-stones-jumping,P3,1,1,,/horse/pads/ca-performers-saddle-pad,Kentucky Saddle Pad Glitter Stones Jumping,content,Temporary Redirect,"Resolve final 200 destination for bad_url, then replace internal links directly to that final URL"
3xx,/horse/pads/jumping/premier-equine-close-contact-tech-grip-pro-anti-slip-saddle-pad-gp-jump-square,P3,1,1,,/horse/pads/premier-equine-airtechnology-shockproof-wool-jump-gp-pad,Premier Equine Close Contact Tech Grip Pro Anti-Slip Saddle Pad,content,Temporary Redirect,"Resolve final 200 destination for bad_url, then replace internal links directly to that final URL"
3xx,/horse/pads/saddlecloth-dressage-tommy-hilfiger-princeton-desert-sky-full,P3,1,1,/horse/pads/dressage/saddlecloth-dressage-tommy-hilfiger-princeton-desert-sky-full,/horse/pads/dressage/saddlecloth-dressage-tommy-hilfiger-stanford-optic-white-full,Princeton Desert Sky,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/horse/pads/saddlecloth-dressage-vision-woof-steel,P3,1,1,/horse/pads/dressage/saddlecloth-dressage-vision-woof-steel,/horse/pads/dressage/saddlecloth-dressage-vision-woof-white,Steel option,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/horse/pads/saddlecloth-dressage-vision-woof-white,P3,1,1,/horse/pads/dressage/saddlecloth-dressage-vision-woof-white,/horse/pads/saddlecloth-dressage-vision-woof-champagne,Vision Woof White,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/horse/pads/sheepskin,P3,1,1,,/horse/pads/wither-relief,Sheepskin Discover our luxurious sheepskin pads for added comfort and style. Browse Collection,content,Temporary Redirect,"Resolve final 200 destination for bad_url, then replace internal links directly to that final URL"
3xx,/horse/rugs/hoods/horseware-rambo-slinky-hood,P3,1,1,,/horse/rugs/hoods,horse rug hoods,content,Temporary Redirect,"Resolve final 200 destination for bad_url, then replace internal links directly to that final URL"
3xx,/horse/rugs/summer/amigo-bravo-12-plus-medium-turnout-rug,P3,1,1,/horse/rugs/amigo-bravo-12-plus-medium-turnout-rug,/products/amigo-bravo-12-plus-medium-turnout-rug,,other,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/horse/rugs/summer/kool-master-shade-mesh-combo-turquoise-navy,P3,1,1,,/horse/rugs/summer/minature-mesh-summer-combo-white,Kool Master Shade Mesh Combo,content,Temporary Redirect,"Resolve final 200 destination for bad_url, then replace internal links directly to that final URL"
3xx,/horse/rugs/winter/minature-zilco-mighty-mini-combo,P3,1,1,,/horse/rugs/winter,Minature Zilco Mighty Mini Combo,content,Temporary Redirect,"Resolve final 200 destination for bad_url, then replace internal links directly to that final URL"
3xx,/horse/stable/farrier/spanner-set-for-studs,P3,1,1,,/horse/stable/farrier/stud-hole-cleaner,Spanner Set For Studs,content,Temporary Redirect,"Resolve final 200 destination for bad_url, then replace internal links directly to that final URL"
3xx,/horse/stable/hay-nets/gutzbusta®-knotless-hay-nets-small,P3,1,1,,/horse/stable/hay-nets,GutzBusta® Knotless Hay Nets,content,Permanent Redirect,"Resolve final 200 destination for bad_url, then replace internal links directly to that final URL"
3xx,/horse/stable/hoof-care/hoof-oil,P3,1,1,,/horse/boots/overreach/kentucky-sheepskin-overreach-boots-1,premium hoof oil,content,Temporary Redirect,"Resolve final 200 destination for bad_url, then replace internal links directly to that final URL"
3xx,/horse/stable/leather-care/sterling-essentials-floral-citrus-leather-care-trio,P3,1,1,,/horse/stable/leather-care,leather care collection,content,Temporary Redirect,"Resolve final 200 destination for bad_url, then replace internal links directly to that final URL"
3xx,/horse/stock-western/saddle-bag-combo-insulated,P3,1,1,/rider/luggage/bags/saddle-bag-combo-insulated,/products/saddle-bag-combo-insulated,,other,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/horse/supplements/joint,P3,1,1,,/collections/horse-health/joint-supplements,,other,Temporary Redirect,"Resolve final 200 destination for bad_url, then replace internal links directly to that final URL"
3xx,/horse/supplements/kelato,P3,1,1,,/collections/horse-health/kelato,,other,Temporary Redirect,"Resolve final 200 destination for bad_url, then replace internal links directly to that final URL"
3xx,/horse/supplements/msm,P3,1,1,,/collections/horse-health/msm,,other,Temporary Redirect,"Resolve final 200 destination for bad_url, then replace internal links directly to that final URL"
3xx,/horse/supplements/psyllium-husk,P3,1,1,,/collections/horse-health/psyllium-husk,,other,Temporary Redirect,"Resolve final 200 destination for bad_url, then replace internal links directly to that final URL"
3xx,/horse/tack/bridles/browbands,P3,1,1,/horse/tack/bridles,/horse/tack/bridles,browbands,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/horse/tack/number-holders/equestrian-australia-stallion-hamag™-halter-disc-single-with-velcro-holder,P3,1,1,,/horse/tack/number-holders,Equestrian Australia Stallion Hamag™ Halter Disc (Single) with Velcro Holder $29.95,content,Temporary Redirect,"Resolve final 200 destination for bad_url, then replace internal links directly to that final URL"
3xx,/horse/veterinary/first-aid/kelato-cotton-wool-gauze-500gm-roll-30cm-x-3-5mt,P3,1,1,,/horse/veterinary/first-aid/filtabac-ceva-120gm,Kelato Cotton Wool & Gauze Roll,content,Temporary Redirect,"Resolve final 200 destination for bad_url, then replace internal links directly to that final URL"
3xx,/news/theequestrian.com.au/collections/horse-riding-helmets,P3,1,1,/horse,/news/best-horse-riding-helmet-australia,,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/pet/bird/toys/bird-toy-safety-guidelines,P3,1,1,,/pet/bird/toys/bird-toy-triple-cage-ring-with-bell,safety guidelines,content,Temporary Redirect,"Resolve final 200 destination for bad_url, then replace internal links directly to that final URL"
3xx,/pet/dog/accessories/dog-cushion-covers,P3,1,1,,/pet/dog/accessories,dog cushion covers,content,Temporary Redirect,"Resolve final 200 destination for bad_url, then replace internal links directly to that final URL"
3xx,/pet/dog/accessories/premium-dog-bone-tags,P3,1,1,,/pet/dog/accessories,premium dog bone tags,content,Temporary Redirect,"Resolve final 200 destination for bad_url, then replace internal links directly to that final URL"
3xx,/pet/dog/coats-and-rugs/airyvest-sizing-guide,P3,1,1,,/pet/dog/coats-and-rugs/airyvest-red-black,AiryVest sizing guide,content,Temporary Redirect,"Resolve final 200 destination for bad_url, then replace internal links directly to that final URL"
3xx,/pet/dog/coats-and-rugs/zeez-dog-coat-supreme-flamingo-pink-grey,P3,1,1,,/pet/dog/coats-and-rugs/zeez-dog-coat-supreme-grape-purple-blue,Zeez Dog Coat Grape Flamingo Pink & Grey,content,Temporary Redirect,"Resolve final 200 destination for bad_url, then replace internal links directly to that final URL"
3xx,/pet/dog/veterinary/credelio-plus-for-small-dogs-2-8-5-5-kg-pink-3-chews,P3,1,1,,/pet/dog,Credelio Plus for Small Dogs,content,Temporary Redirect,"Resolve final 200 destination for bad_url, then replace internal links directly to that final URL"
3xx,/products/4cyte-equine-epiitalis-forte-250ml,P3,1,1,/horse/supplements/4cyte-equine-epiitalis-forte-250ml,/news/epitalis-review,4CYTE Equine,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/products/absorbine-ultrashield-ex,P3,1,1,/horse/stable/fly-control/absorbine-ultrashield-ex,/news/best-horse-fly-spray,Absorbine Ultra Shield,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/products/amigo-bravo-12-plus-medium-turnout-rug,P3,1,1,/horse/rugs/summer/amigo-bravo-12-plus-medium-turnout-rug,/news/best-winter-horse-rugs,Horseware Amigo Bravo Plus,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/products/anna-scarpati-quoli-23t-saddle-pad-jumping,P3,1,1,/horse/saddles,/horse/pads/jumping/matching-set-anna-scarpati-quiri-57-jump-pad-zeug-57-fly-hood-rosa-antico,Anna Scarpati Quoli Saddle Pad for Jumping,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/products/anna-scarpati-t-shirt-format-23t,P3,1,1,/clothing/tops/tshirts/anna-scarpati-t-shirt-format-23t,/horse/pads/jumping/matching-set-anna-scarpati-quiri-57-jump-pad-zeug-57-fly-hood-rosa-antico,Anna Scarpati Equestrian T-shirt,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/products/anna-scarpati-zeug-49-fly-hood,P3,1,1,/horse/bonnets/anna-scarpati-zeug-49-fly-hood,/horse/pads/jumping/matching-set-anna-scarpati-quiri-57-jump-pad-zeug-57-fly-hood-rosa-antico,Anna Scarpati Stylish Fly Hood,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/products/ariat-boots-stanbroke-chestnut-mens,P3,1,1,/clothing/footwear/casual/ariat-boots-stanbroke-chestnut-mens,/news/ariat-stanbroke-boots-review,Ariat Stanbroke boots,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/products/ariat-heritage-roper-ladies,P3,1,1,/clothing/footwear/boots/ariat-heritage-roper-ladies,/news/ariat-roper-boots-review,Ariat Heritage Roper Boots,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/products/ariat-heritage-roper-mens,P3,1,1,/clothing/footwear/boots/ariat-heritage-roper-mens,/news/ariat-roper-boots-review,Ariat's Roper boots,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/products/ariat-shoes-cruiser-black-suede-with-black-white-hair-on-ladies,P3,1,1,/horse,/news/ariat-cruiser-review,Ariat Cruiser Suede Slip Ons,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/products/ariat-shoes-eco-cruiser-s20-eco-brunette-ladies,P3,1,1,/horse,/news/ariat-cruiser-review,ECO BRUNETTE Crusiers,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/products/bell-boots-goose-neck-black-size-2,P3,1,1,/horse/boots/bell-boots-goose-neck-black-size-2,/horse/boots/bell-boots/hologram-bell-boots,Bell Boots Goose Neck - Black (Size 2),content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/products/calciplex-bone-joint-iah-3kg,P3,1,1,/horse/supplements/calciplex-bone-joint-iah-3kg,/news/the-best-horse-joint-supplements-and-constituents,,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/products/cavallo-linus-slim-riding-boots-edition-lack-bling,P3,1,1,/clothing/footwear/riding-boots/cavallo-linus-slim-riding-boots-edition-lack-bling,/news/best-boots-for-horse-riding,Cavallo Linus Slim Jumping Boots,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/products/cavalor-equicare-derma-wash,P3,1,1,/horse/grooming/shampoo/cavalor-equicare-derma-wash,/news/horse-skin-conditions,chlorhexidine,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/products/charles-owen-ayr8-plus-leather-looks/charles-owen/vic/woori-yallock/charles-owen-ayr8-custom-leather-with-piping/100006272,P3,1,1,/horse,/news/best-horse-riding-helmet-australia,AYR8,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
